亦庄开发区|大兴其它|旧宫镇 上林苑 南北通透 三居室 快速公交一号线 |上林苑| | 3室1厅 | 126.38平米 | 南 北 | 简装|高楼层(共6层)  2002年建板楼  -  |大兴其它|350万|单价27695元/平米
亦庄开发区|大兴其它|福苑小区 满五唯一 户型非常棒 |福苑小区| | 3室1厅 | 102.71平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |大兴其它|245万|单价23854元/平米
亦庄开发区|大兴其它|福苑西区复式房，满五年不唯一总价低|福苑小区| | 4室2厅 | 165.25平米 | 南 北 | 简装|高楼层(共7层)  2002年建板楼  -  |大兴其它|268万|单价16218元/平米
亦庄开发区|大兴其它|龙溪顺景 新户型 三居  看房随时 |龙熙顺景| | 3室1厅 | 170平米 | 东 南 西 | 毛坯|中楼层(共15层)  2005年建  -  |大兴其它|290万|单价17059元/平米
亦庄开发区|大兴其它|富力丹麦小镇，精装独栋别墅，直接入住|富力丹麦小镇| | 4室2厅 | 370平米 | 东 南 西 北 | 精装|低楼层(共2层)  2011年建  -  |大兴其它|750万|单价20271元/平米
亦庄开发区|大兴其它|独墅逸致，独栋别墅，大花园，还可扩建，二期毛坯房|独墅逸致| | 4室2厅 | 245.97平米 | 南 北 | 毛坯|低楼层(共2层)    -  |大兴其它|860万|单价34964元/平米
亦庄开发区|大兴其它|大兴黄村，独墅逸致，双拼别墅，有花园|独墅逸致| | 4室2厅 | 210平米 | 南 北 | 精装|低楼层(共2层)    -  |大兴其它|590万|单价28096元/平米
亦庄开发区|大兴其它|富力丹麦小镇  顶层复式  无营业税 看房有钥匙|富力丹麦小镇| | 3室2厅 | 172.09平米 | 东 南 西 | 精装|中楼层(共19层)  2011年建板楼  -  |大兴其它|390万|单价22663元/平米
亦庄开发区|大兴其它|198栋 南五环独栋别墅 有钥匙 大花园|198别墅区| | 6室3厅 | 487平米 | 南 北 | 毛坯|低楼层(共3层)  2009年建  -  |大兴其它|1350万|单价27721元/平米
亦庄开发区|大兴其它|正规三居，南北双通透，户型方正，精装修带电梯|富力丹麦小镇| | 3室1厅 | 130平米 | 南 北 | 精装|中楼层(共19层)  2011年建板楼  -  |大兴其它|310万|单价23847元/平米
亦庄开发区|大兴其它|德茂小区 南北通透 交通便利 上学方便 适合刚需客户|德茂小区| | 2室1厅 | 69.22平米 | 南 北 | 简装|高楼层(共6层)  1997年建板楼  -  |大兴其它|200万|单价28894元/平米
亦庄开发区|大兴其它|福苑南北两居室，业主诚心出售随时签约|福苑小区| | 2室1厅 | 74.37平米 | 南 北 | 精装|高楼层(共6层)  1996年建板楼  -  |大兴其它|190万|单价25548元/平米
亦庄开发区|大兴其它|198栋独栋别墅 私享独有空间 大院子尽情展现设计灵感|198别墅区| | 4室2厅 | 367平米 | 南 北 | 其他|低楼层(共3层)  2009年建  -  |大兴其它|1200万|单价32698元/平米
亦庄开发区|大兴其它|龙熙顺景公寓楼 采光好 精装修 |龙熙顺景| | 3室2厅 | 169平米 | 南 北 | 精装|高楼层(共12层)  2005年建  -  |大兴其它|280万|单价16569元/平米
亦庄开发区|大兴其它|独墅逸致，独栋别墅，花园500平米，精装修|独墅逸致| | 4室2厅 | 200平米 | 南 北 | 精装|地下室(共2层)  2007年建  -  |大兴其它|1050万|单价52500元/平米
亦庄开发区|大兴其它|龙熙顺景 满五年唯一 毛坯房 带大花园|龙熙顺景| | 5室3厅 | 358平米 | 南 北 | 毛坯|低楼层(共1层)    -  |大兴其它|1000万|单价27933元/平米
亦庄开发区|大兴其它|198栋独栋别墅 南入户北花园 大花园 随时配合签约|198别墅区| | 3室2厅 | 326平米 | 南 北 | 毛坯|低楼层(共3层)  2009年建  -  |大兴其它|1200万|单价36810元/平米
亦庄开发区|大兴其它|198独栋别墅 涵养优越气质，鉴赏主流生活|198别墅区| | 4室2厅 | 486平米 | 南 北 | 毛坯|低楼层(共2层)  2009年建  -  |大兴其它|1300万|单价26749元/平米
亦庄开发区|大兴其它|福苑小区  精装两居室  南北通透  |福苑小区| | 2室1厅 | 73平米 | 南 北 | 其他|中楼层(共6层)  1998年建板楼  -  |大兴其它|200万|单价27398元/平米
亦庄开发区|大兴其它|满五年南北通透业主诚心出售紧邻在建地铁8号线|德茂佳苑| | 2室2厅 | 91.63平米 | 南 北 | 精装|中楼层(共6层)  2004年建板楼  -  |大兴其它|295万|单价32195元/平米
亦庄开发区|大兴其它|满五唯一  采光性特好  赠送花园和地下室|独墅逸致| | 7室2厅 | 230平米 | 南 北 | 其他|地下室(共2层)  2003年建  -  |大兴其它|1000万|单价43479元/平米
亦庄开发区|大兴其它|富力丹麦小镇  满五唯一   南北通透|富力丹麦小镇| | 6室4厅 | 360平米 | 南 北 | 其他|低楼层(共3层)  2011年建  -  |大兴其它|1100万|单价30556元/平米
亦庄开发区|大兴其它|小区低密度花园洋房，南北通透统一精装，客厅落地飘窗|富力童话时光| | 3室2厅 | 100平米 | 南 北 | 其他|低楼层(共9层)  板楼  -  |大兴其它|260万|单价26000元/平米
亦庄开发区|大兴其它|大兴黄村 富力丹麦小镇 满两年原值高 看房随时|富力丹麦小镇| | 4室2厅 | 186平米 | 南 北 | 简装|低楼层(共5层)  2011年建板楼  -  |大兴其它|465万|单价25000元/平米
亦庄开发区|大兴其它|龙熙顺景 3室2厅 297万|龙熙顺景| | 3室2厅 | 138.18平米 | 东 南 北 | 精装|低楼层(共15层)  2005年建  -  |大兴其它|297万|单价21494元/平米
亦庄开发区|大兴其它|福苑中间楼层毛坯房两居室，满两年高原值|福苑小区| | 2室1厅 | 66.05平米 | 南 北 | 其他|中楼层(共6层)  1997年建板楼  -  |大兴其它|180万|单价27253元/平米
亦庄开发区|大兴其它|龙熙顺景 4室2厅 380万|龙熙顺景| | 4室2厅 | 280平米 | 东 南 | 其他|高楼层(共15层)  2005年建  -  |大兴其它|380万|单价13572元/平米
亦庄开发区|大兴其它|富力丹麦小镇 满两年、 精装修、无抵押|富力丹麦小镇| | 6室2厅 | 379.9平米 | 东 南 西 北 | 精装|地下室(共2层)  2011年建  -  |大兴其它|1200万|单价31588元/平米
亦庄开发区|大兴其它|蓝天花园 2室1厅 198万|蓝天花园| | 2室1厅 | 92.15平米 | 南 北 | 精装|低楼层(共6层)  2005年建板楼  -  |大兴其它|198万|单价21487元/平米
亦庄开发区|大兴其它|二期 独栋别墅  大花园600平送地下室150平米|独墅逸致| | 4室2厅 | 320平米 | 南 北 | 毛坯|地下室(共3层)    -  |大兴其它|960万|单价30000元/平米
亦庄开发区|大兴其它|二期独栋别墅 方正大花园700平米|独墅逸致| | 4室2厅 | 235平米 | 南 北 | 其他|低楼层(共2层)    -  |大兴其它|900万|单价38298元/平米
亦庄开发区|大兴其它|众美城 南北两居 毛坯未入住 明厨明卫 得房率高|众美城| | 2室2厅 | 79平米 | 南 北 | 毛坯|高楼层(共4层)    -  |大兴其它|192万|单价24304元/平米
亦庄开发区|大兴其它|北京198独栋别墅 繁华 不落幕的居家风景|198别墅区| | 5室2厅 | 337平米 | 南 北 | 毛坯|低楼层(共3层)  2009年建  -  |大兴其它|1050万|单价31158元/平米
亦庄开发区|大兴其它|富力丹麦小镇 独栋别墅 高品质别墅区 投资居住首选|富力丹麦小镇| | 6室3厅 | 335平米 | 南 北 | 精装|低楼层(共2层)    -  |大兴其它|750万|单价22389元/平米
亦庄开发区|大兴其它|富力童话时光一层带地下室，精装修！|富力童话时光| | 3室1厅 | 111平米 | 西 | 精装|未知楼层(共9层)  板楼  -  |大兴其它|258万|单价23244元/平米
亦庄开发区|大兴其它|一期 独栋别墅 精装修户型好 花园400平米|独墅逸致| | 4室2厅 | 238平米 | 南 北 | 其他|低楼层(共3层)  2003年建  -  |大兴其它|750万|单价31513元/平米
亦庄开发区|大兴其它|独墅逸致，二期毛坯房，送地下室，花园500平|独墅逸致| | 5室2厅 | 256.56平米 | 南 北 | 毛坯|低楼层(共3层)    -  |大兴其它|780万|单价30403元/平米
亦庄开发区|大兴其它|loft户型 商住两用 不限购 |i立方| | 2室1厅 | 76平米 | 南 西 | 其他|高楼层(共12层)  2012年建塔楼  -  |大兴其它|120万|单价15790元/平米
亦庄开发区|大兴其它|团河行宫别墅独栋别墅 人随园行 梦随心动|198别墅区| | 7室4厅 | 337平米 | 南 北 | 精装|地下室(共3层)  2009年建  -  |大兴其它|1200万|单价35609元/平米
亦庄开发区|大兴其它|福苑精装低楼层两居室，业主诚心出售|福苑小区| | 2室1厅 | 74.58平米 | 南 北 | 精装|低楼层(共6层)  1997年建板楼  -  |大兴其它|195万|单价26147元/平米
亦庄开发区|大兴其它|格林云墅 下叠别墅 有钥匙 业主诚心出售|格林云墅| | 4室2厅 | 300平米 | 南 北 | 毛坯|低楼层(共2层)  2015年建板楼  -  |大兴其它|810万|单价27000元/平米
亦庄开发区|大兴其它|二期 独栋别墅 方正花园400平米 精装修送地下室|独墅逸致| | 4室2厅 | 256平米 | 南 北 | 精装|低楼层(共3层)    -  |大兴其它|950万|单价37110元/平米
亦庄开发区|大兴其它|独墅逸致，独栋别墅，1层带卧室客厅挑高，花园300平|独墅逸致| | 4室1厅 | 260平米 | 南 北 | 毛坯|低楼层(共2层)  2003年建  -  |大兴其它|700万|单价26924元/平米
亦庄开发区|大兴其它|龙熙顺景大独栋 四周千余平大花园赠送500多万红木家具|龙熙顺景| | 6室3厅 | 620.9平米 | 东 南 西 北 | 精装|低楼层(共2层)    -  |大兴其它|2800万|单价45096元/平米
亦庄开发区|大兴其它|富力丹麦小镇，样板间格局，诚心出售|富力丹麦小镇| | 4室2厅 | 363平米 | 东 南 西 北 | 精装|低楼层(共2层)  2011年建  -  |大兴其它|1020万|单价28100元/平米
亦庄开发区|大兴其它|富力丹麦小镇 原值高 电梯房 低密度别墅社区环境好|富力丹麦小镇| | 4室3厅 | 186平米 | 南 北 | 精装|中楼层(共6层)  2011年建板楼  -  |大兴其它|450万|单价24194元/平米
亦庄开发区|大兴其它|富力独栋别墅，300多平花园，送精装修。|富力丹麦小镇| | 5室2厅 | 326.5平米 | 南 北 | 其他|地下室(共2层)  2011年建  -  |大兴其它|850万|单价26034元/平米
亦庄开发区|大兴其它|板楼洋房 环境好 安静 采光好 位置好 看房方便|富力童话时光| | 3室2厅 | 101.6平米 | 南 北 | 精装|中楼层(共9层)  板楼  -  |大兴其它|270万|单价26575元/平米
亦庄开发区|大兴其它|富力丹麦小镇，低密度独栋别墅，|富力丹麦小镇| | 4室2厅 | 368.76平米 | 东 南 西 北 | 精装|低楼层(共2层)  2011年建  -  |大兴其它|800万|单价21695元/平米
亦庄开发区|大兴其它|福苑小区 三面采光 低楼层 南北二居 诚意出售|福苑小区| | 2室1厅 | 74.54平米 | 南 北 | 简装|低楼层(共6层)  1997年建板楼  -  |大兴其它|198万|单价26563元/平米
亦庄开发区|大兴其它|独墅逸致 独栋别墅  毛坯房  看房随时|独墅逸致| | 4室2厅 | 260平米 | 南 北 | 精装|低楼层(共2层)  2003年建  -  |大兴其它|770万|单价29616元/平米
亦庄开发区|大兴其它|南城198独栋豪装别墅 择隐山水，淡定天下|198别墅区| | 8室3厅 | 483平米 | 南 北 | 精装|低楼层(共3层)    -  |大兴其它|1880万|单价38924元/平米
亦庄开发区|大兴其它|格林云墅，新小区，周边有二机场，户型好.|格林云墅| | 3室2厅 | 89平米 | 南 北 | 其他|高楼层(共9层)  2015年建  -  |大兴其它|240万|单价26967元/平米
亦庄开发区|大兴其它|富力丹麦小镇，独栋别墅，开发商统一精装修|富力丹麦小镇| | 4室4厅 | 370平米 | 东 南 西 北 | 其他|低楼层(共2层)    -  |大兴其它|900万|单价24325元/平米
亦庄开发区|大兴其它|精装修 联排别墅 南入户北花园 小区中间 有露台|富力丹麦小镇| | 6室2厅 | 260平米 | 南 北 | 精装|低楼层(共3层)    -  |大兴其它|650万|单价25000元/平米
亦庄开发区|大兴其它|众美城 大三居 业主诚心出售 小区环境好 宜居小区|众美城| | 3室2厅 | 127平米 | 南 北 | 毛坯|低楼层(共3层)  板楼  -  |大兴其它|280万|单价22048元/平米
亦庄开发区|大兴其它|格林云墅 顶层跃层 南中轴路边 诚心出售|格林云墅| | 3室2厅 | 136.32平米 | 南 北 | 毛坯|高楼层(共9层)  塔楼  -  |大兴其它|380万|单价27876元/平米
亦庄开发区|大兴其它|满二年，精装修，送地下和下沉式花园，。|富力丹麦小镇| | 4室3厅 | 226平米 | 南 北 | 精装|低楼层(共6层)  2011年建板楼  -  |大兴其它|450万|单价19912元/平米
亦庄开发区|大兴其它|福苑小区 正规两居  有钥匙 随时看房|福苑小区| | 1室1厅 | 55.56平米 | 南 北 | 毛坯|高楼层(共6层)  1988年建板楼  -  |大兴其它|147万|单价26458元/平米
亦庄开发区|大兴其它|满二年原值570万 精装300万独栋别墅|独墅逸致| | 8室3厅 | 320平米 | 南 北 | 其他|低楼层(共3层)  2005年建  -  |大兴其它|1200万|单价37500元/平米
亦庄开发区|大兴其它|龙熙顺景 南北通透四居室 诚心出售|龙熙顺景| | 4室2厅 | 214平米 | 南 北 | 其他|中楼层(共12层)  2006年建  -  |大兴其它|400万|单价18692元/平米
亦庄开发区|大兴其它|蓝桥驿苑  南中轴路上南北通透一居室 |蓝桥驿苑| | 1室1厅 | 55平米 | 南 北 | 毛坯|高楼层(共18层)    -  |大兴其它|145万|单价26364元/平米
亦庄开发区|大兴其它|福苑小区 满五唯一 全明格局 业主诚心出售 |福苑小区| | 2室1厅 | 81.65平米 | 南 北 | 其他|低楼层(共6层)  1999年建板楼  -  |大兴其它|210万|单价25720元/平米
亦庄开发区|大兴其它|富力丹麦小镇 3室2厅 320万|富力丹麦小镇| | 3室2厅 | 130平米 | 南 北 | 精装|高楼层(共12层)  2011年建板楼  -  |大兴其它|320万|单价24616元/平米
亦庄开发区|大兴其它|福苑西区粉色楼，两居诚心出售随时签约|福苑小区| | 2室1厅 | 88平米 | 南 北 | 简装|中楼层(共7层)  2002年建板楼  -  |大兴其它|210万|单价23864元/平米
亦庄开发区|大兴其它|龙熙顺景 4室2厅 575万|龙熙顺景| | 4室2厅 | 238平米 | 东 南 北 | 其他|低楼层(共4层)  2003年建  -  |大兴其它|575万|单价24160元/平米
亦庄开发区|大兴其它|可办公，可居住，可注册。商住两用|i立方| | 1室0厅 | 69.4平米 | 南 | 其他|中楼层(共14层)  2012年建塔楼  -  |大兴其它|125万|单价18012元/平米
亦庄开发区|大兴其它|龙熙顺景 5室3厅 2680万|龙熙顺景| | 5室3厅 | 1031平米 | 南 北 | 毛坯|地下室(共2层)    -  |大兴其它|2680万|单价25995元/平米
亦庄开发区|大兴其它|i立方 精装修 挑高复式 诚心出售|i立方| | 2室1厅 | 69平米 | 南 | 精装|中楼层(共9层)  2012年建塔楼  -  |大兴其它|138万|单价20000元/平米
亦庄开发区|大兴其它|富力丹麦小镇 5室2厅 1500万|富力丹麦小镇| | 5室2厅 | 460平米 | 东 南 西 北 | 其他|低楼层(共2层)    -  |大兴其它|1500万|单价32609元/平米
亦庄开发区|大兴其它|电梯房 一室两厅格局  精装修|首座御园二区二期| | 1室2厅 | 78平米 | 西 | 其他|高楼层(共14层)    -  |大兴其它|185万|单价23718元/平米
亦庄开发区|大兴其它|福苑次顶层精装两居室，随时签约|福苑小区| | 2室1厅 | 68.94平米 | 南 北 | 其他|高楼层(共6层)  1988年建板楼  -  |大兴其它|178万|单价25820元/平米
亦庄开发区|大兴其它|富力丹麦小镇，精装三居有房本满两年|富力丹麦小镇| | 3室2厅 | 130平米 | 南 北 | 其他|高楼层(共12层)  2011年建板楼  -  |大兴其它|400万|单价30770元/平米
亦庄开发区|大兴其它|精装小三局，客厅朝东三卧向阳，可以拎包入住|富力童话时光| | 2室1厅 | 89平米 | 东 南 | 其他|中楼层(共9层)  塔楼  -  |大兴其它|210万|单价23596元/平米
亦庄开发区|大兴其它|南北通透两居室，视野好，采光好|德茂佳苑| | 2室1厅 | 86.13平米 | 南 北 | 简装|中楼层(共6层)  2004年建板楼  -  |大兴其它|300万|单价34832元/平米
亦庄开发区|大兴其它|金融街开发 花园洋房低密度  中轴路边紧邻第二机场|金色漫香郡| | 3室2厅 | 140.7平米 | 南 北 | 其他|高楼层(共6层)  2012年建板楼  -  |大兴其它|460万|单价32694元/平米
亦庄开发区|大兴其它|低总价纯商品房70年大产权，原值高，升值潜力大|蓝桥驿苑| | 1室1厅 | 55.87平米 | 南 | 简装|低楼层(共14层)  板楼  -  |大兴其它|135万|单价24164元/平米
亦庄开发区|大兴其它|富力童话时光 精装修上叠 带产权车位 |富力童话时光| | 3室2厅 | 149平米 | 南 北 | 其他|中楼层(共4层)    -  |大兴其它|405万|单价27182元/平米
亦庄开发区|大兴其它|龙熙顺景 2室1厅 232万|龙熙顺景| | 2室1厅 | 116平米 | 南 西 北 | 精装|中楼层(共7层)  2006年建  -  |大兴其它|232万|单价20000元/平米
亦庄开发区|大兴其它|龙熙顺景精装修叠拼别墅业主拎包即住|龙熙顺景| | 4室2厅 | 202平米 | 南 北 | 精装|中楼层(共4层)  2004年建  -  |大兴其它|410万|单价20298元/平米
亦庄开发区|大兴其它|南北通透精装修 小区中间位置  黄金楼层 免增值税|金色漫香郡| | 3室2厅 | 138平米 | 南 北 | 其他|低楼层(共9层)  2012年建板塔结合  -  |大兴其它|480万|单价34783元/平米
亦庄开发区|大兴其它|双拼别墅 大花园 200平 精装修 拎包入住|龙熙顺景| | 3室3厅 | 221平米 | 南 北 | 精装|低楼层(共6层)  2006年建  -  |大兴其它|550万|单价24887元/平米
亦庄开发区|大兴其它|i立方毛坯房可以根据自己的风格装修|i立方| | 1室0厅 | 67平米 | 东 | 毛坯|低楼层(共12层)  2012年建塔楼  -  |大兴其它|125万|单价18657元/平米
亦庄开发区|大兴其它|富力童话时光 3室1厅 300万|富力童话时光| | 3室1厅 | 160平米 | 北 南 | 其他|低楼层(共9层)  塔楼  -  |大兴其它|300万|单价18750元/平米
亦庄开发区|大兴其它|天堂河 1室1厅 120万|天堂河| | 1室1厅 | 49.5平米 | 南 | 其他|高楼层(共6层)  1989年建板楼  -  |大兴其它|120万|单价24243元/平米
亦庄开发区|大兴其它|天堂河 2室1厅 135万|天堂河| | 2室1厅 | 55.24平米 | 南 北 | 简装|中楼层(共5层)  1989年建板楼  -  |大兴其它|135万|单价24439元/平米
亦庄开发区|大兴其它|金色漫香郡 3室2厅 400万|金色漫香郡| | 3室2厅 | 127平米 | 南 北 | 其他|中楼层(共8层)  2012年建板塔结合  -  |大兴其它|400万|单价31497元/平米
亦庄开发区|大兴其它|富力丹麦小镇 2室2厅 245万|富力丹麦小镇| | 2室2厅 | 105平米 | 南 北 | 其他|低楼层(共12层)  2011年建板楼  -  |大兴其它|245万|单价23334元/平米
亦庄开发区|大兴其它|房本满两年 业主诚心出售 看房提前约|金色漫香郡| | 2室2厅 | 89.47平米 | 南 北 | 精装|低楼层(共10层)  2012年建  -  |大兴其它|300万|单价33531元/平米
亦庄开发区|大兴其它|金色漫香郡 3室2厅 310万|金色漫香郡| | 3室2厅 | 127平米 | 南 北 | 毛坯|低楼层(共8层)    -  |大兴其它|310万|单价24410元/平米
亦庄开发区|大兴其它|198独栋别墅 繁华与宁静共存，阔绰身份不显自露|198别墅区| | 4室3厅 | 380平米 | 南 北 | 毛坯|低楼层(共2层)  2009年建  -  |大兴其它|1200万|单价31579元/平米
亦庄开发区|大兴其它|金色漫香郡 2室1厅 300万|金色漫香郡| | 2室1厅 | 90平米 | 南 北 | 其他|中楼层(共9层)  2012年建板塔结合  -  |大兴其它|300万|单价33334元/平米
亦庄开发区|大兴其它|天堂河 1室0厅 98万|天堂河| | 1室0厅 | 38平米 | 西南 | 其他|中楼层(共4层)  1983年建板楼  -  |大兴其它|98万|单价25790元/平米
亦庄开发区|大兴其它|富力童话时光 3室2厅 250万|富力童话时光| | 3室2厅 | 100.59平米 | 南 北 | 其他|高楼层(共9层)  板楼  -  |大兴其它|250万|单价24854元/平米
亦庄开发区|大兴其它|一品嘉园 2室1厅 205万|一品嘉园| | 2室1厅 | 81.66平米 | 南 北 | 其他|高楼层(共6层)  2012年建板楼  -  |大兴其它|205万|单价25105元/平米
亦庄开发区|大兴其它|御园小区 2室2厅 180万|御园小区| | 2室2厅 | 78.84平米 | 南 北 | 其他|高楼层(共15层)  2012年建板塔结合  -  |大兴其它|180万|单价22832元/平米
亦庄开发区|大兴其它|联港幸福湾 3室1厅 273万|联港幸福湾| | 3室1厅 | 115.35平米 | 南 北 | 其他|低楼层(共11层)  2014年建板塔结合  -  |大兴其它|273万|单价23668元/平米
亦庄开发区|大兴其它|兴安北里 2室1厅 150万|兴安北里| | 2室1厅 | 91.12平米 | 南 北 | 其他|低楼层(共6层)  2008年建板楼  -  |大兴其它|150万|单价16462元/平米
亦庄开发区|大兴其它|一品嘉园 2室2厅 180万|一品嘉园| | 2室2厅 | 89平米 | 南 北 | 其他|低楼层(共6层)  2012年建板楼  -  |大兴其它|180万|单价20225元/平米
亦庄开发区|大兴其它|龙熙顺景 2室0厅 300万|龙熙顺景| | 2室0厅 | 170平米 | 东南 | 其他|中楼层(共15层)  2005年建  -  |大兴其它|300万|单价17648元/平米
亦庄开发区|大兴其它|蓝桥驿苑 1室1厅 153万|蓝桥驿苑| | 1室1厅 | 56平米 | 南 北 | 其他|低楼层(共14层)  板楼  -  |大兴其它|153万|单价27322元/平米
亦庄开发区|大兴其它|金色漫香郡 2室2厅 260万|金色漫香郡| | 2室2厅 | 91.23平米 | 南 北 | 其他|低楼层(共9层)  2012年建板塔结合  -  |大兴其它|260万|单价28500元/平米
亦庄开发区|大兴其它|富力丹麦小镇 4室2厅 920万|富力丹麦小镇| | 4室2厅 | 320平米 | 东 南 西 北 | 其他|低楼层(共3层)  2011年建  -  |大兴其它|920万|单价28750元/平米
亦庄开发区|大兴其它|蓝桥驿苑 1室1厅 150万|蓝桥驿苑| | 1室1厅 | 56平米 | 南 | 其他|低楼层(共15层)  板楼  -  |大兴其它|150万|单价26786元/平米
亦庄开发区|大兴其它|团河苑 2室1厅 186万|团河苑| | 2室1厅 | 69平米 | 南 北 | 其他|高楼层(共6层)  1996年建板楼  -  |大兴其它|186万|单价26957元/平米
亦庄开发区|大兴其它|富力童话时光 2室1厅 260万|富力童话时光| | 2室1厅 | 100平米 | 南 | 其他|中楼层(共9层)  塔楼  -  |大兴其它|260万|单价26000元/平米
亦庄开发区|大兴其它|联港幸福湾 2室1厅 200万|联港幸福湾| | 2室1厅 | 85平米 | 东南 | 其他|低楼层(共11层)  2014年建板塔结合  -  |大兴其它|200万|单价23530元/平米
亦庄开发区|大兴其它|富力飞常HAOS 3室2厅 240万|富力飞常HAOS| | 3室2厅 | 109平米 | 北 | 其他|低楼层(共2层)  板楼  -  |大兴其它|240万|单价22019元/平米
亦庄开发区|大兴其它|蓝桥驿苑 1室1厅 150万|蓝桥驿苑| | 1室1厅 | 55.49平米 | 南 | 其他|中楼层(共12层)    -  |大兴其它|150万|单价27032元/平米
亦庄开发区|大兴其它|富力丹麦小镇 3室1厅 450万|富力丹麦小镇| | 3室1厅 | 185平米 | 南 北 | 其他|中楼层(共6层)  2011年建板楼  -  |大兴其它|450万|单价24325元/平米
亦庄开发区|大兴其它|福苑小区 2室1厅 170万|福苑小区| | 2室1厅 | 74.9平米 | 东 西 | 其他|中楼层(共6层)  1997年建板楼  -  |大兴其它|170万|单价22697元/平米
