大兴|长阳|原香小镇 南北通透两居 全明格局 满五唯一 随时签约|原香小镇一区| | 2室1厅 | 88平米 | 南 北 | 精装|中楼层(共10层)  2010年建板楼  -  |长阳|238万|单价27046元/平米
大兴|长阳|精装修 满五唯一 东西通透 配套成熟|长龙苑小区| | 2室1厅 | 97平米 | 东 西 | 简装|中楼层(共6层)  2002年建板楼  -  |长阳|182万|单价18763元/平米
大兴|长阳|满五唯一 客厅朝南 自住精装修|碧桂园小区C区| | 2室1厅 | 93平米 | 南 北 | 精装|低楼层(共11层)  2006年建板楼  -  |长阳|230万|单价24732元/平米
大兴|长阳|加州水郡东区 满五唯一 南北通透 送双露台 绿化率高 |加州水郡二期| | 2室2厅 | 96平米 | 南 北 | 精装|高楼层(共9层)  2004年建板塔结合  -  |长阳|280万|单价29167元/平米
大兴|长阳|加州水郡东区别墅 满五唯一 园林设计 精装修拎包入住|加州水郡一期| | 5室2厅 | 268平米 | 南 北 | 精装|低楼层(共3层)  2007年建  -  |长阳|1000万|单价37314元/平米
大兴|长阳|离门口近，有独立餐厅，一梯一户，精装修|加州水郡三期| | 3室2厅 | 147平米 | 南 北 | 精装|低楼层(共14层)  2009年建板塔结合  -  |长阳|320万|单价21769元/平米
大兴|长阳|原香小镇二区 满五唯一 赠送双露台|原香小镇二区| | 2室1厅 | 84.63平米 | 南 北 | 简装|高楼层(共6层)  2010年建板楼  -  |长阳|265万|单价31313元/平米
大兴|长阳|满五唯一南北两居  小区中间是花园|碧桂园小区C区| | 2室1厅 | 94平米 | 南 北 | 精装|高楼层(共11层)  2006年建板楼  -  |长阳|228万|单价24256元/平米
大兴|长阳|靠山居艺墅南北通透大四居一层送50平米花园免税出售|靠山居艺墅北区| | 4室2厅 | 161平米 | 南 北 | 精装|低楼层(共4层)  2007年建  -  |长阳|490万|单价30435元/平米
大兴|长阳|加州水郡 联排别墅 私家花园  满五唯一 自带车位|加州水郡一期| | 5室3厅 | 298平米 | 南 北 | 精装|地下室(共3层)  2006年建  -  |长阳|940万|单价31544元/平米
大兴|长阳|首开熙悦山熹园1号院南北通透三居室 全明格局|首开熙悦山熹园1号院| | 3室2厅 | 100.97平米 | 南 北 | 毛坯|中楼层(共9层)  2013年建板楼  -  |长阳|340万|单价33674元/平米
大兴|长阳|碧桂园 满五年唯一 精装修 全明格局 中间层 诚心出售|碧桂园小区二区| | 3室2厅 | 109.94平米 | 南 北 | 简装|高楼层(共6层)  2005年建板楼  -  |长阳|218万|单价19829元/平米
大兴|长阳|九洲溪雅苑满五年唯一  看房提前联系 业主随时签约|九洲溪雅苑一区| | 3室2厅 | 131.08平米 | 南 北 | 简装|低楼层(共14层)  2009年建板塔结合  -  |长阳|280万|单价21362元/平米
大兴|长阳|碧桂园梧杖爱 南北两居 送地下室 满五唯一免税|碧桂园小区C区| | 2室1厅 | 92平米 | 南 北 | 精装|低楼层(共11层)  2006年建板楼  -  |长阳|225万|单价24457元/平米
大兴|长阳|靠山居艺墅南区免税联排毛坯房随心装|靠山居艺墅南区| | 4室2厅 | 193平米 | 南 北 | 毛坯|低楼层(共3层)  2005年建  -  |长阳|590万|单价30570元/平米
大兴|长阳|靠山居艺墅南区联排别墅全明格局精装免税无违建|靠山居艺墅南区| | 5室2厅 | 212平米 | 南 北 | 精装|低楼层(共3层)  2006年建  -  |长阳|640万|单价30189元/平米
大兴|长阳|原香小镇大三居  高原值  满两年 毛坯房|原香小镇二区| | 3室2厅 | 135.6平米 | 南 北 | 毛坯|中楼层(共6层)  2010年建板楼  -  |长阳|380万|单价28024元/平米
大兴|长阳|加州水郡三期 南北通透三居 一梯一户 满二 总价低|加州水郡三期| | 3室2厅 | 147.13平米 | 南 北 | 精装|低楼层(共14层)  2009年建板塔结合  -  |长阳|268万|单价18216元/平米
大兴|长阳|加州水郡二期 3室2厅 320万|加州水郡二期| | 3室2厅 | 141平米 | 南 北 | 精装|高楼层(共9层)  2004年建板塔结合  -  |长阳|320万|单价22696元/平米
大兴|长阳|碧桂园小区C区 2室1厅 240万|碧桂园小区C区| | 2室1厅 | 119平米 | 南 | 精装|中楼层(共16层)  2006年建板塔结合  -  |长阳|240万|单价20169元/平米
大兴|长阳|碧桂园小区C区 3室2厅 300万|碧桂园小区C区| | 3室2厅 | 123.37平米 | 南 北 | 精装|中楼层(共15层)  2007年建板楼  -  |长阳|300万|单价24318元/平米
大兴|长阳|碧桂园 经典三居室 黄金楼层 业主诚意出售|碧桂园小区A区| | 3室1厅 | 102.69平米 | 南 北 | 简装|中楼层(共6层)  2003年建板楼  -  |长阳|197万|单价19184元/平米
大兴|长阳|加州水郡 精装样板间 两居可改三居|加州水郡三期| | 2室2厅 | 87.37平米 | 南 北 | 精装|低楼层(共11层)  2009年建板塔结合  -  |长阳|220万|单价25181元/平米
大兴|长阳|翠林漫步中间层精装修看房随时满两年|翠林漫步| | 2室1厅 | 85.6平米 | 南 北 | 精装|高楼层(共11层)  2011年建板楼  -  |长阳|232万|单价27103元/平米
大兴|长阳|满两年、北京小学四中学区房、临地铁，诚意出售！|馨然嘉园三区| | 3室2厅 | 89.21平米 | 南 北 | 简装|中楼层(共15层)  2012年建板楼  -  |长阳|260万|单价29145元/平米
大兴|长阳|天泰新景 西南向的3居室 精装修 黄城根小学 近地铁|天泰新景| | 3室1厅 | 110.84平米 | 南 北 | 简装|高楼层(共6层)  2005年建板楼  -  |长阳|235万|单价21202元/平米
大兴|长阳|加州三期 位置靠前 全明格局 全天候采光 次顶层诚售|加州水郡三期| | 2室1厅 | 86.62平米 | 西南 | 精装|高楼层(共11层)  2009年建板塔结合  -  |长阳|194万|单价22397元/平米
大兴|长阳|碧桂园C区 南北通透 正规两居 无遮挡|碧桂园小区C区| | 2室1厅 | 93平米 | 南 北 | 简装|低楼层(共11层)  2006年建板楼  -  |长阳|210万|单价22581元/平米
大兴|长阳|碧桂园小区二区 3室1厅 290万|碧桂园小区二区| | 3室1厅 | 118平米 | 南 北 | 简装|低楼层(共6层)  2006年建板楼  -  |长阳|290万|单价24577元/平米
大兴|长阳|长阳地暖小区 精装自住 满五唯一 看房方便|碧桂园小区A区| | 2室1厅 | 90.22平米 | 南 北 | 精装|高楼层(共6层)  2001年建板楼  -  |长阳|183万|单价20284元/平米
大兴|长阳|长景新园南北通透两居室 稻田地铁站 毛坯房有钥匙|长景新园| | 2室1厅 | 81.14平米 | 南 北 | 毛坯|低楼层(共6层)    -  |长阳|200万|单价24649元/平米
大兴|长阳|大宁山庄二区 环境优美 鸟语花香 经典户型 黄金楼层|大宁山庄二区| | 3室2厅 | 139.45平米 | 南 北 | 精装|中楼层(共5层)  2008年建  -  |长阳|375万|单价26892元/平米
大兴|长阳|碧桂园A区南北通透 复式户型 满5唯一|碧桂园小区A区| | 6室2厅 | 181平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |长阳|290万|单价16023元/平米
大兴|长阳|加州水郡东区 满五唯一 精装 三居 |加州水郡二期| | 3室2厅 | 162平米 | 南 北 | 精装|中楼层(共9层)  2004年建板塔结合  -  |长阳|320万|单价19754元/平米
大兴|长阳|九洲溪雅苑 南北通透的复试  拎包入住|九洲溪雅苑二区| | 3室2厅 | 157平米 | 南 北 | 精装|高楼层(共14层)  2009年建板塔结合  -  |长阳|340万|单价21657元/平米
大兴|长阳|碧桂园3期南北通透三居室，满五年唯一|碧桂园小区C区| | 3室2厅 | 118平米 | 南 北 | 精装|低楼层(共16层)  2007年建板塔结合  -  |长阳|265万|单价22458元/平米
大兴|长阳|九洲溪雅苑 全明格局 南北 三居室|九洲溪雅苑二区| | 3室2厅 | 156.2平米 | 南 北 | 精装|高楼层(共14层)  2009年建板塔结合  -  |长阳|330万|单价21127元/平米
大兴|长阳|加州水郡二期，精装三居，客厅挑高，满五唯一|加州水郡二期| | 3室1厅 | 113平米 | 南 北 | 精装|高楼层(共9层)  2004年建板塔结合  -  |长阳|252万|单价22301元/平米
大兴|长阳|长阳碧桂园满五唯一大三居 免双税|碧桂园小区C区| | 3室2厅 | 138.42平米 | 南 | 简装|低楼层(共16层)  2006年建板塔结合  -  |长阳|265万|单价19145元/平米
大兴|长阳|九洲溪雅苑满五年唯一 大三居 拎包入住|九洲溪雅苑二区| | 3室2厅 | 133.77平米 | 南 北 | 精装|低楼层(共13层)  2009年建板塔结合  -  |长阳|280万|单价20932元/平米
大兴|长阳|首开熙悦山熹园南北通透三居室 双卫 全明 近地铁|首开熙悦山熹园3号院| | 3室1厅 | 104.08平米 | 南 北 | 精装|低楼层(共9层)  2013年建板楼  -  |长阳|355万|单价34109元/平米
大兴|长阳|长阳光合作用 复式房 精装修 小区中心位置|禾香雅园| | 2室1厅 | 82平米 | 南 | 精装|中楼层(共8层)  板楼  -  |长阳|220万|单价26830元/平米
大兴|长阳|溪雅苑一区，楼王位置，南北通透两居，总价低|九洲溪雅苑一区| | 2室2厅 | 104.6平米 | 南 北 | 简装|低楼层(共14层)  2009年建板塔结合  -  |长阳|219万|单价20937元/平米
大兴|长阳|碧桂园二区 南北通透三居室 满五年 唯一住房 赠送露台|碧桂园小区二区| | 4室1厅 | 161平米 | 南 北 | 简装|高楼层(共6层)  2006年建板楼  -  |长阳|260万|单价16150元/平米
大兴|长阳|碧桂园 精装大两居 满五唯一 诚售|碧桂园小区C区| | 3室2厅 | 138.4平米 | 南 | 精装|低楼层(共16层)  2006年建板塔结合  -  |长阳|285万|单价20593元/平米
大兴|长阳|加州水郡，联排别墅，精装修，送花园、地下室、露台|加州水郡一期| | 5室3厅 | 317.01平米 | 南 北 | 精装|地下室(共3层)  2006年建  -  |长阳|1080万|单价34069元/平米
大兴|长阳|九洲溪雅苑南北通透的3居室 毛坯房，看房提前联系|九洲溪雅苑二区| | 3室1厅 | 155平米 | 南 北 | 毛坯|高楼层(共14层)  2009年建板塔结合  -  |长阳|320万|单价20646元/平米
大兴|长阳|加州水郡二期 满五唯一免税房 正规南北通透三居|加州水郡二期| | 3室2厅 | 142.5平米 | 南 北 | 精装|低楼层(共9层)  2004年建板塔结合  -  |长阳|285万|单价20000元/平米
大兴|长阳|碧桂园 顶层大复式 精装修 满五唯一|碧桂园小区二区| | 4室2厅 | 162平米 | 南 北 | 精装|高楼层(共6层)  2006年建板楼  -  |长阳|230万|单价14198元/平米
大兴|长阳|加州别墅 满五唯一 南北通透 豪华装修 |加州水郡一期| | 6室2厅 | 301平米 | 南 北 | 精装|地下室(共3层)  2006年建  -  |长阳|1200万|单价39868元/平米
大兴|长阳|九洲溪雅苑二区 2室1厅 235万|九洲溪雅苑二区| | 2室1厅 | 93.93平米 | 南 | 精装|高楼层(共15层)  2009年建板塔结合  -  |长阳|235万|单价25019元/平米
大兴|长阳|碧桂园三期精装大两居 南北双通透 满五唯一|碧桂园小区C区| | 2室2厅 | 112平米 | 南 北 | 精装|高楼层(共16层)  2006年建板塔结合  -  |长阳|240万|单价21429元/平米
大兴|长阳|碧桂园南北向两居  满五唯一 中间楼层|碧桂园小区C区| | 2室1厅 | 93平米 | 南 北 | 精装|中楼层(共11层)  2006年建板楼  -  |长阳|228万|单价24517元/平米
大兴|长阳|满五年唯一 低楼层适合养老居住|九洲溪雅苑二区| | 2室1厅 | 107平米 | 南 | 毛坯|低楼层(共15层)  2009年建板塔结合  -  |长阳|230万|单价21496元/平米
大兴|长阳|碧桂园 精装南北三居室 满五唯一|碧桂园小区A区| | 3室2厅 | 121.29平米 | 南 北 | 简装|高楼层(共6层)  2001年建板楼  -  |长阳|242万|单价19953元/平米
大兴|长阳|南北通透三居室 主卧室客厅朝南 满五年唯一住房|加州水郡二期| | 3室2厅 | 143平米 | 南 北 | 精装|高楼层(共9层)  2004年建板塔结合  -  |长阳|350万|单价24476元/平米
大兴|长阳|全南向二居，双明卫，精装修，一直自住，看房方便|九洲溪雅苑二区| | 2室1厅 | 104.85平米 | 南 | 精装|中楼层(共15层)  2009年建板塔结合  -  |长阳|235万|单价22413元/平米
大兴|长阳|满五唯一，全明格局，精美装修，视野开阔|碧桂园小区C区| | 2室1厅 | 93平米 | 南 北 | 精装|高楼层(共11层)  2006年建板楼  -  |长阳|220万|单价23656元/平米
大兴|长阳|长龙苑 观景位置 户型稀缺 城铁稻田站|长龙苑小区| | 2室2厅 | 84.7平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |长阳|175万|单价20662元/平米
大兴|长阳|碧桂园A区南北通透 复式户型 满5唯一|碧桂园小区A区| | 4室2厅 | 157平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |长阳|251万|单价15988元/平米
大兴|长阳|碧桂园小区C区 2室1厅 240万|碧桂园小区C区| | 2室1厅 | 95平米 | 西南 | 精装|中楼层(共16层)  2007年建板塔结合  -  |长阳|240万|单价25264元/平米
大兴|长阳|九洲二区南北向三居室 满五唯一 税费少 业主二次装修|九洲溪雅苑二区| | 3室2厅 | 153.64平米 | 南 北 | 精装|低楼层(共15层)  2009年建板塔结合  -  |长阳|330万|单价21479元/平米
大兴|长阳|翠林漫步南北通透大三居  楼王位置  精装修 次新房|翠林漫步| | 3室2厅 | 125平米 | 南 北 | 精装|低楼层(共10层)  2011年建板楼  -  |长阳|345万|单价27600元/平米
大兴|长阳|长阳加州水郡 一居室 税费少  诚心出售|加州水郡三期| | 1室1厅 | 44.24平米 | 东 | 精装|低楼层(共15层)  2009年建板塔结合  -  |长阳|107万|单价24187元/平米
大兴|长阳|毛坯两居，无遮挡，北京小学学区，满两年，诚意出售！|馨然嘉园二区| | 2室1厅 | 81平米 | 南 | 毛坯|低楼层(共20层)  2012年建板塔结合  -  |长阳|242万|单价29877元/平米
大兴|长阳|经典三居室原值高，满两年，随时看房，税费少！|加州水郡四期| | 3室1厅 | 91.57平米 | 南 北 | 精装|高楼层(共11层)  2011年建板楼  -  |长阳|235万|单价25664元/平米
大兴|长阳|原香小镇二期2居 南北通透 全明格局 独立餐厅 满两年|原香小镇二区| | 2室1厅 | 86平米 | 南 北 | 毛坯|中楼层(共6层)  2010年建板楼  -  |长阳|240万|单价27907元/平米
大兴|长阳|长阳半岛南北通透两居 中楼层 采光好|长阳半岛3号院| | 2室1厅 | 87平米 | 南 北 | 其他|中楼层(共18层)  2012年建  -  |长阳|300万|单价34483元/平米
大兴|长阳|长阳国际城二区 稀缺大三居 满两年 换房首选 北京小学|馨然嘉园二区| | 3室1厅 | 119平米 | 南 | 精装|中楼层(共20层)  2012年建板塔结合  -  |长阳|365万|单价30673元/平米
大兴|长阳|芭蕾雨悦都北区  满两年  小三居|芭蕾雨悦都北区| | 3室1厅 | 88.44平米 | 南 北 | 简装|低楼层(共9层)  2012年建板楼  -  |长阳|270万|单价30530元/平米
大兴|长阳|加州水郡西南两居  满两年 有钥匙随时看房|加州水郡四期| | 2室1厅 | 88.74平米 | 南 西 | 精装|高楼层(共11层)  2011年建板楼  -  |长阳|220万|单价24792元/平米
大兴|长阳|长阳 加州水郡 满五年唯一 带电梯 全南向 精装 |加州水郡三期| | 2室1厅 | 91平米 | 南 | 精装|高楼层(共14层)  2009年建塔楼  -  |长阳|226万|单价24836元/平米
大兴|长阳|长阳 碧桂园三期 中心位置 满五年唯一 精装 随时签约|碧桂园小区C区| | 2室1厅 | 103平米 | 南 北 | 精装|低楼层(共15层)  2007年建板楼  -  |长阳|260万|单价25243元/平米
大兴|长阳|加州水郡全南向隔断间一居室满两年有钥匙|加州水郡三期| | 1室1厅 | 58.6平米 | 南 | 简装|高楼层(共15层)  2007年建塔楼  -  |长阳|130万|单价22185元/平米
大兴|长阳|馨然嘉园 南北三居室急售 满两年|馨然嘉园一区| | 3室1厅 | 88平米 | 南 北 | 简装|低楼层(共20层)  2012年建板塔结合  -  |长阳|270万|单价30682元/平米
大兴|长阳|芭蕾雨东西向两居，小区中心，满两年，临地铁临奥莱|芭蕾雨悦都南区| | 2室1厅 | 83.76平米 | 东 西 | 精装|低楼层(共9层)  2012年建板楼  -  |长阳|235万|单价28057元/平米
大兴|长阳|长阳半岛徜徉嘉园南北向三居距地铁881米|徜徉嘉园5号院| | 3室1厅 | 98.61平米 | 南 北 | 简装|低楼层(共8层)  板楼  -  |长阳|330万|单价33466元/平米
大兴|长阳|天泰新景 满五唯一 精装修南北两居 业主诚心出售|天泰新景| | 2室2厅 | 94平米 | 南 北 | 其他|高楼层(共6层)  2005年建板楼  -  |长阳|215万|单价22873元/平米
大兴|长阳|碧桂园小区二区 4室2厅 270万|碧桂园小区二区| | 4室2厅 | 162平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |长阳|270万|单价16667元/平米
大兴|长阳|加州水郡一期 5室3厅 1180万|加州水郡一期| | 5室3厅 | 293.43平米 | 南 北 | 精装|地下室(共3层)  2006年建  -  |长阳|1180万|单价40215元/平米
大兴|长阳|长阳国际城 精装全南两居室 满两年省增值税|馨然嘉园二区| | 2室1厅 | 81.11平米 | 南 | 精装|高楼层(共20层)  2012年建板塔结合  -  |长阳|254万|单价31316元/平米
大兴|长阳|碧桂园小区C区 2室1厅 250万|碧桂园小区C区| | 2室1厅 | 92.3平米 | 南 北 | 简装|低楼层(共11层)  2006年建板楼  -  |长阳|250万|单价27086元/平米
大兴|长阳|碧桂园小区二区 3室1厅 350万|碧桂园小区二区| | 3室1厅 | 150平米 | 南 北 | 精装|低楼层(共6层)  2006年建板楼  -  |长阳|350万|单价23334元/平米
大兴|长阳|加州水郡  精装两居  楼王位置  全明格局  景观环绕  |加州水郡三期| | 2室1厅 | 88平米 | 南 西 | 精装|中楼层(共11层)  2009年建板塔结合  -  |长阳|225万|单价25569元/平米
大兴|长阳|长龙苑 满五唯一 精装修 两居室|长龙苑小区| | 2室1厅 | 107平米 | 南 北 | 其他|中楼层(共6层)  2000年建板楼  -  |长阳|240万|单价22430元/平米
大兴|长阳|原香小镇二期小三居 南北通透  精装修 满五唯一|原香小镇二区| | 2室2厅 | 89.96平米 | 南 北 | 精装|低楼层(共6层)  2010年建板楼  -  |长阳|248万|单价27568元/平米
大兴|长阳|长阳碧桂园 满五年唯一 精装 黄金二层 中心位置|碧桂园小区A区| | 2室1厅 | 92.2平米 | 南 北 | 精装|低楼层(共6层)  2003年建板楼  -  |长阳|218万|单价23645元/平米
大兴|长阳|加州水郡 南北通透满五唯一 精装两居 |加州水郡三期| | 2室1厅 | 85.01平米 | 南 北 | 精装|高楼层(共11层)  2009年建板塔结合  -  |长阳|206万|单价24233元/平米
大兴|长阳|南北通透、紧邻长阳公园、满五唯一|碧桂园小区C区| | 3室1厅 | 125平米 | 南 北 | 简装|低楼层(共15层)  2007年建板楼  -  |长阳|250万|单价20000元/平米
大兴|长阳|一层带下跃，总价低税费少，南北通透。|原香小镇一区| | 2室1厅 | 88平米 | 南 北 | 毛坯|低楼层(共10层)  2010年建板楼  -  |长阳|275万|单价31250元/平米
大兴|长阳|碧桂园C区 南北通透 全明格局 三居室 满五年唯一 免税|碧桂园小区C区| | 3室1厅 | 117.64平米 | 南 北 | 精装|中楼层(共9层)  2006年建板楼  -  |长阳|280万|单价23802元/平米
大兴|长阳|碧桂园3期  南北通透大3居 南向客厅满5唯一|碧桂园小区C区| | 3室2厅 | 122平米 | 南 北 | 精装|中楼层(共15层)  2007年建板楼  -  |长阳|300万|单价24591元/平米
大兴|长阳|碧桂园梧仗爱   满五唯一   精装南北两居|碧桂园小区C区| | 2室1厅 | 93.73平米 | 南 北 | 精装|高楼层(共11层)  2006年建板楼  -  |长阳|210万|单价22405元/平米
大兴|长阳|熙悦山三号院纯南两居，毛坯出售。|首开熙悦山熹园3号院| | 2室1厅 | 83.31平米 | 南 | 毛坯|高楼层(共21层)  2013年建板楼  -  |长阳|258万|单价30969元/平米
大兴|长阳|加州精装两居室 纯东向 中间楼层|加州水郡四期| | 2室1厅 | 88.56平米 | 东 | 精装|高楼层(共15层)  2011年建塔楼  -  |长阳|198万|单价22358元/平米
大兴|长阳|翠林漫步南北通透两居室  户型方正  全明格局 采光好|翠林漫步| | 2室1厅 | 88.88平米 | 南 北 | 精装|低楼层(共9层)  2011年建板楼  -  |长阳|228万|单价25653元/平米
大兴|长阳|加州水郡 精装二居室  诚心出售 看房方便|加州水郡四期| | 2室1厅 | 88.62平米 | 西北 | 精装|高楼层(共11层)  2011年建塔楼  -  |长阳|175万|单价19748元/平米
大兴|长阳|原乡小镇  精装3居 全明格局 业主诚意出售|原香小镇二区| | 3室2厅 | 137.15平米 | 南 北 | 精装|中楼层(共6层)  2010年建板楼  -  |长阳|382万|单价27853元/平米
大兴|长阳|碧桂园南向客厅三居室 满五唯一|碧桂园小区C区| | 3室1厅 | 118平米 | 南 北 | 简装|低楼层(共9层)  2006年建板楼  -  |长阳|249万|单价21102元/平米
大兴|长阳|长阳半岛中心位置，长阳国际城精装三居，拎包记住|馨然嘉园三区| | 3室1厅 | 89平米 | 南 北 | 精装|低楼层(共15层)  2012年建板楼  -  |长阳|275万|单价30899元/平米
大兴|长阳|碧桂园全明大三居 高舒适度 中高楼层|碧桂园小区C区| | 3室1厅 | 130.49平米 | 南 北 | 精装|高楼层(共15层)  2007年建板楼  -  |长阳|290万|单价22224元/平米
大兴|长阳|长龙苑南北两居室满五唯一看房提前预约|长龙苑小区| | 2室1厅 | 89.23平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |长阳|185万|单价20733元/平米
大兴|长阳|加州水郡二期 3室2厅 305万|加州水郡二期| | 3室2厅 | 140.54平米 | 北 南 | 其他|高楼层(共9层)  2004年建板塔结合  -  |长阳|305万|单价21703元/平米
大兴|长阳|碧桂园梧仗爱   满五唯一 精装 东南向大两居|碧桂园小区C区| | 2室1厅 | 118平米 | 东南 | 精装|中楼层(共16层)  2007年建板塔结合  -  |长阳|235万|单价19916元/平米
大兴|长阳|九洲溪雅苑，两居，精装修，满五唯一，免税|九洲溪雅苑一区| | 2室2厅 | 108平米 | 南 北 | 精装|中楼层(共14层)  2009年建板塔结合  -  |长阳|260万|单价24075元/平米
