海淀|安宁庄|阳光北里 免税 海淀实验二小学 楼龄新 靠谱签约|阳光北里| | 3室1厅 | 85.5平米 | 西 南 | 简装|高楼层(共18层)  1999年建塔楼  -  |安宁庄|450万|单价52632元/平米
海淀|安宁庄|龙兴园南区 南北两居 黄金楼层|龙兴园南区| | 2室2厅 | 84.32平米 | 南 北 | 简装|中楼层(共7层)  1998年建板楼  -  |安宁庄|350万|单价41509元/平米
海淀|安宁庄|海淀清河安宁里南区满五唯一 大三居 海淀重点学区|安宁里南区| | 3室1厅 | 106.42平米 | 东 西 北 | 精装|高楼层(共18层)  1999年建塔楼  -  |安宁庄|450万|单价42286元/平米
海淀|安宁庄|满五年 唯一  免税 南北通透 海淀二小学区 中间层 |安宁里南区| | 1室1厅 | 58平米 | 南 北 | 简装|中楼层(共7层)  1999年建板楼  -  |安宁庄|290万|单价50000元/平米
海淀|安宁庄|清上园 南向两居室   居住舒适 诚意出售|清上园| | 2室1厅 | 86平米 | 东南 | 精装|低楼层(共19层)  2002年建板塔结合  -  |安宁庄|460万|单价53489元/平米
海淀|安宁庄|婚房装修 免税 海淀实验二小 随时可看 可改三居|阳光北里| | 2室1厅 | 75平米 | 东南 | 精装|高楼层(共18层)  1999年建塔楼  -  |安宁庄|380万|单价50667元/平米
海淀|安宁庄|满五年唯一 看房方便 诚意出售 随时签约|阳光北里| | 3室1厅 | 102平米 | 南 西南 西 | 精装|高楼层(共18层)  1998年建塔楼  -  |安宁庄|495万|单价48530元/平米
海淀|安宁庄|海淀实验二小学区,正规东西通透大两居,满五年唯一免费|安宁里南区| | 2室1厅 | 70.37平米 | 东 西 | 简装|中楼层(共7层)  1999年建板楼  -  |安宁庄|392万|单价55706元/平米
海淀|安宁庄|清上园二期板楼两居，南北通透，黄金楼层|清上园| | 2室2厅 | 106.51平米 | 南 北 | 精装|低楼层(共6层)  2004年建板楼  -  |安宁庄|600万|单价56333元/平米
海淀|安宁庄|清河上地 二十中学家属院 南北通透 诚意出售|二十中家属院| | 2室1厅 | 53.75平米 | 南 北 | 简装|中楼层(共6层)  1994年建板楼  -  |安宁庄|310万|单价57675元/平米
海淀|安宁庄|海淀实验二小 免税 婚房装修 随时可看 可改三居|阳光北里| | 2室1厅 | 76.6平米 | 东南 | 简装|高楼层(共18层)  1999年建塔楼  -  |安宁庄|380万|单价49609元/平米
海淀|安宁庄|清上园  方正小两居 紧凑实用 无浪费 诚意出售|清上园| | 2室1厅 | 73.66平米 | 西北 | 简装|中楼层(共19层)  2002年建板塔结合  -  |安宁庄|410万|单价55662元/平米
海淀|安宁庄|天巢园 高楼层 南向一居 有钥匙|天巢园| | 1室1厅 | 62平米 | 南 | 精装|高楼层(共22层)  2010年建塔楼  -  |安宁庄|225万|单价36291元/平米
海淀|安宁庄|精装两居可高贷，足不出户上小学，随时可看|毛纺住宅北小区| | 2室1厅 | 58平米 | 东 西 | 精装|中楼层(共7层)  1992年建板楼  -  |安宁庄|350万|单价60345元/平米
海淀|安宁庄|实验二小，首付125万，小区院中院，居家首选，诚意卖|安宁里| | 2室1厅 | 57平米 | 东 西 | 精装|中楼层(共6层)  1998年建板楼  -  |安宁庄|340万|单价59650元/平米
海淀|安宁庄|教育配套 海淀实验二小 北京二十中 正规一居电梯房|阳光北里| | 1室1厅 | 62.3平米 | 东南 | 精装|高楼层(共18层)  1999年建塔楼  -  |安宁庄|265万|单价42537元/平米
海淀|安宁庄|海淀实验二小学区 南北大三居 中间层 免税 随时签约|毛纺住宅北小区| | 3室1厅 | 100.8平米 | 南 北 | 简装|中楼层(共6层)  1995年建板楼  -  |安宁庄|530万|单价52580元/平米
海淀|安宁庄|阳光北里大两居 单价低 海淀实验二小学区 急售房源。|阳光北里| | 2室1厅 | 93.6平米 | 东 南 北 | 简装|低楼层(共18层)  1999年建塔楼  -  |安宁庄|380万|单价40599元/平米
海淀|安宁庄|金达园正规大两居室 业主随时签约 靠谱出售|金达园| | 2室1厅 | 88.17平米 | 南 北 | 简装|中楼层(共6层)  1997年建板楼  -  |安宁庄|325万|单价36861元/平米
海淀|安宁庄|龙兴园南区顶层复式 户型好 南北通透|龙兴园南区| | 3室2厅 | 130.89平米 | 南 北 | 其他|高楼层(共7层)  1998年建板楼  -  |安宁庄|360万|单价27505元/平米
海淀|安宁庄|清上园二期板楼带电梯 满五年唯一 实验二小学区采光好|清上园| | 2室1厅 | 87.96平米 | 东南 | 精装|中楼层(共11层)  2005年建板塔结合  -  |安宁庄|550万|单价62529元/平米
海淀|安宁庄|天巢园,两居室,靠谱出售,看房方便|天巢园| | 2室1厅 | 83.75平米 | 南 北 | 简装|高楼层(共22层)  2010年建塔楼  -  |安宁庄|285万|单价34030元/平米
海淀|安宁庄|安宁佳园南北通透三居室 精装修 满五唯一 诚心出售|安宁佳园| | 3室1厅 | 95.52平米 | 南 北 | 精装|低楼层(共18层)  2007年建板塔结合  -  |安宁庄|560万|单价58627元/平米
海淀|安宁庄|育鹰小学 南北通透两居室 满五唯一 低税费 低总价|地壳所| | 2室1厅 | 52.35平米 | 南 北 | 精装|中楼层(共5层)  1984年建板楼  -  |安宁庄|286万|单价54633元/平米
海淀|安宁庄|龙兴园南区经典二居 南北通透 置业首选|龙兴园南区| | 2室2厅 | 84.57平米 | 南 北 | 简装|中楼层(共7层)  1998年建板楼  -  |安宁庄|310万|单价36657元/平米
海淀|安宁庄| 高当社区 免税 育鹰小学 北京二十中|安宁佳园| | 2室1厅 | 85.04平米 | 东 南 | 精装|高楼层(共18层)  2007年建板塔结合  -  |安宁庄|485万|单价57032元/平米
海淀|安宁庄|满五唯一 三个卧室互不干扰 中间楼层|清上园| | 3室2厅 | 136平米 | 东 南 北 | 其他|中楼层(共19层)  2002年建板塔结合  -  |安宁庄|660万|单价48530元/平米
海淀|安宁庄|安宁佳园精装开间，低首付让您安居北京！|安宁佳园| | 1室0厅 | 36.43平米 | 北 | 精装|高楼层(共18层)  2007年建塔楼  -  |安宁庄|250万|单价68625元/平米
海淀|安宁庄|海淀西三旗地壳所满五唯一大两居 可改三居 诚意出售|地壳所| | 2室2厅 | 89平米 | 南 北 | 精装|中楼层(共6层)  2003年建板楼  -  |安宁庄|539万|单价60562元/平米
海淀|安宁庄|龙兴园南区经典二居室，满五唯一，置业首选|龙兴园南区| | 2室1厅 | 84.32平米 | 南 北 | 简装|低楼层(共7层)  1998年建板楼  -  |安宁庄|350万|单价41509元/平米
海淀|安宁庄|阳光北里 精装一居室 诚意出售 看房方便|阳光北里| | 1室1厅 | 55平米 | 东 南 | 精装|中楼层(共18层)  1998年建塔楼  -  |安宁庄|285万|单价51819元/平米
海淀|安宁庄|清上园二期正规板楼两居室，南北双卫，黄金楼层|清上园| | 2室2厅 | 116平米 | 南 北 | 精装|低楼层(共11层)  2003年建板塔结合  -  |安宁庄|670万|单价57759元/平米
海淀|安宁庄|上林溪三区大一居改两居 有钥匙 重点学区|上林溪| | 2室1厅 | 70.85平米 | 西南 | 精装|中楼层(共10层)  2010年建板楼  -  |安宁庄|415万|单价58575元/平米
海淀|安宁庄|天巢园 高楼层 正规一居 精装修|天巢园| | 1室1厅 | 58.77平米 | 南 | 精装|高楼层(共22层)  2010年建塔楼  -  |安宁庄|240万|单价40838元/平米
海淀|安宁庄|清上园精装东南向大两居 业主自住 学区房 满五年唯一|清上园| | 2室2厅 | 123平米 | 东 南 | 精装|中楼层(共19层)  2002年建板塔结合  -  |安宁庄|636万|单价51708元/平米
海淀|安宁庄|清上园二期板楼带电梯 东南向 高楼层采光好 学区房|清上园| | 2室1厅 | 88平米 | 东南 | 精装|中楼层(共11层)  2005年建板塔结合  -  |安宁庄|560万|单价63637元/平米
海淀|安宁庄|金达园大三居，户型好，双卧朝南，大客厅|金达园| | 3室2厅 | 144.29平米 | 南 北 | 精装|低楼层(共6层)  1998年建板楼  -  |安宁庄|410万|单价28415元/平米
海淀|安宁庄|育鹰小学学区房，南北通透小两居，看房方便，免税！|地壳所| | 2室1厅 | 63.49平米 | 南 北 | 精装|高楼层(共6层)  1994年建板楼  -  |安宁庄|360万|单价56702元/平米
海淀|安宁庄|南北通透两居室 海淀二小学区 中间层 北京市二十中 |安宁里南区| | 2室1厅 | 67平米 | 南 北 | 毛坯|中楼层(共7层)  1999年建板楼  -  |安宁庄|320万|单价47762元/平米
海淀|安宁庄|海淀实验二小学区 双卧朝南带电梯 满五年唯一 随时看|安宁里南区| | 2室1厅 | 79.81平米 | 东南 南 | 简装|低楼层(共18层)  1999年建塔楼  -  |安宁庄|420万|单价52625元/平米
海淀|安宁庄|海淀实验二小 看房随时 诚意出售|阳光北里| | 2室1厅 | 83.5平米 | 东南 | 简装|高楼层(共18层)  1998年建塔楼  -  |安宁庄|410万|单价49102元/平米
海淀|安宁庄|天巢园 满五唯一 低楼层 随时签约 精装修拎包入住|天巢园| | 2室1厅 | 83平米 | 南 北 | 精装|低楼层(共22层)  2010年建塔楼  -  |安宁庄|300万|单价36145元/平米
海淀|安宁庄|育鹰小学地壳所 中间层小两居 满五唯一 业主诚意出售|地壳所| | 2室1厅 | 52平米 | 西 | 精装|中楼层(共6层)  1987年建板楼  -  |安宁庄|276万|单价53077元/平米
海淀|安宁庄|天巢园满五年唯一两居室  采光好 视野好 精装修|天巢园| | 2室1厅 | 84平米 | 西南 | 精装|高楼层(共22层)  2010年建塔楼  -  |安宁庄|300万|单价35715元/平米
海淀|安宁庄|海淀实验二小 北京二十中 毛北精装修二居室 诚意出售|毛纺住宅北小区| | 2室1厅 | 59平米 | 南 北 | 精装|高楼层(共7层)  1991年建板楼  -  |安宁庄|330万|单价55933元/平米
海淀|安宁庄|海淀实验二小 板楼中间层 南北通透 婚房精装 随时可看|安宁里| | 2室1厅 | 58.2平米 | 南 北 | 简装|中楼层(共6层)  1994年建板楼  -  |安宁庄|350万|单价60138元/平米
海淀|安宁庄|清河小营阳光北里 满五年唯一 学区房 优质好房|阳光北里| | 2室1厅 | 86.4平米 | 东 北 西南 | 简装|低楼层(共18层)  1999年建塔楼  -  |安宁庄|430万|单价49769元/平米
海淀|安宁庄|天巢园 中间楼层 东南两居 精装修 诚意签约|天巢园| | 2室1厅 | 83.83平米 | 东 南 | 精装|中楼层(共22层)  2010年建塔楼  -  |安宁庄|300万|单价35787元/平米
海淀|安宁庄|天巢园，满五唯一，南向一居室，业主诚意出售|天巢园| | 1室1厅 | 62平米 | 南 | 简装|中楼层(共22层)  2010年建塔楼  -  |安宁庄|225万|单价36291元/平米
海淀|安宁庄|清上园南向两居室，高楼层，诚心卖，看房方便|清上园| | 2室1厅 | 99.36平米 | 南 | 简装|高楼层(共19层)  2002年建板塔结合  -  |安宁庄|510万|单价51329元/平米
海淀|安宁庄|动力厂宿舍 南北通透 满五年唯一 全明格局|动力厂宿舍| | 2室1厅 | 59平米 | 南 北 | 简装|高楼层(共6层)  1988年建板楼  -  |安宁庄|305万|单价51695元/平米
海淀|安宁庄|动力厂宿舍 1室1厅 258万|动力厂宿舍| | 1室1厅 | 42.5平米 | 南 | 简装|高楼层(共6层)  1988年建板楼  -  |安宁庄|258万|单价60706元/平米
海淀|安宁庄|上林溪西南北三面采光，正规三居，精装修，拎包入住。|上林溪| | 3室2厅 | 138.44平米 | 西 南 北 | 精装|中楼层(共20层)  2010年建板楼  -  |安宁庄|830万|单价59954元/平米
海淀|安宁庄|上林溪三期眼镜户型三居 精装修 中高楼层视野好学区房|上林溪| | 3室2厅 | 116平米 | 南 北 | 精装|中楼层(共10层)  2010年建板楼  -  |安宁庄|780万|单价67242元/平米
海淀|安宁庄|阳光北里 海淀实验二小 精装婚房 可接受组合贷换房|阳光北里| | 1室1厅 | 60.5平米 | 南 | 精装|中楼层(共18层)  1999年建塔楼  -  |安宁庄|330万|单价54546元/平米
海淀|安宁庄|上林溪三期 板楼全明两居 精装自住 重点学区|上林溪| | 2室2厅 | 109.4平米 | 南 北 | 精装|中楼层(共10层)  2010年建板楼  -  |安宁庄|660万|单价60330元/平米
海淀|安宁庄|上林溪一期全南两居室 精装修 视野无敌有钥匙重点学区|上林溪| | 2室1厅 | 94.08平米 | 南 | 精装|高楼层(共22层)  2012年建板楼  -  |安宁庄|520万|单价55273元/平米
海淀|安宁庄|海淀清河地壳所新楼三居 南北通透 海淀重点学区 |地壳所| | 3室1厅 | 87.8平米 | 东 南 北 | 简装|低楼层(共6层)  2003年建板楼  -  |安宁庄|510万|单价58087元/平米
海淀|安宁庄|清河上地 二十中学家属院 南北通透 |二十中家属院| | 1室1厅 | 44.78平米 | 南 北 | 简装|低楼层(共6层)  1994年建板楼  -  |安宁庄|235万|单价52479元/平米
海淀|安宁庄|海淀实验二小学区房 经典两居室 看房方便|安宁里| | 2室1厅 | 58.2平米 | 东 西 | 精装|高楼层(共6层)  1992年建板楼  -  |安宁庄|330万|单价56702元/平米
海淀|安宁庄|毛纺北小区正规板楼一居 南北户型 中间楼层 看房方便|毛纺住宅北小区| | 1室1厅 | 52平米 | 北 南 | 简装|中楼层(共7层)  1992年建板楼  -  |安宁庄|309万|单价59424元/平米
海淀|安宁庄|清上园 一居室 已经改成两居室 业主诚意出搜|清上园| | 2室1厅 | 71平米 | 西 北 | 精装|低楼层(共19层)  2002年建板塔结合  -  |安宁庄|385万|单价54226元/平米
海淀|安宁庄|上林溪 南向一室一厅 中间楼层 可签约 诚意出售|上林溪| | 1室1厅 | 44平米 | 南 | 精装|低楼层(共9层)  2012年建板楼  -  |安宁庄|306万|单价69546元/平米
海淀|安宁庄|精装修 全天无遮挡 满两年 学区名额未占用 中高层|上林溪| | 2室2厅 | 94.34平米 | 南 | 精装|中楼层(共20层)  2012年建板楼  -  |安宁庄|580万|单价61480元/平米
海淀|安宁庄|清上园 3室2厅 820万|清上园| | 3室2厅 | 131.18平米 | 南 北 | 简装|中楼层(共9层)  2005年建板塔结合  -  |安宁庄|820万|单价62510元/平米
海淀|安宁庄|育鹰小学 南北通透两居 满五不唯一公房 业主诚意出售|地壳所| | 2室1厅 | 58.32平米 | 南 北 | 精装|高楼层(共5层)  1981年建板楼  -  |安宁庄|300万|单价51441元/平米
海淀|安宁庄|海淀上地上林溪2011年新社区南北精装两居室|上林溪| | 2室2厅 | 108平米 | 南 北 | 精装|中楼层(共11层)  2011年建板楼  -  |安宁庄|660万|单价61112元/平米
海淀|安宁庄|一期主打两居  正对中心花园 黄金次顶层|上林溪| | 2室1厅 | 92.77平米 | 南 | 简装|高楼层(共21层)  2010年建板楼  -  |安宁庄|560万|单价60365元/平米
海淀|安宁庄|海淀产权小户型 中间层 电梯房 低首付 刚需首选|安宁佳园| | 1室0厅 | 36.58平米 | 北 | 精装|中楼层(共18层)  2007年建塔楼  -  |安宁庄|250万|单价68344元/平米
海淀|安宁庄|海淀实验二小，正规大两居，满五年唯一免税房诚心出售|安宁里| | 2室1厅 | 60.36平米 | 南 北 | 精装|中楼层(共6层)  1994年建板楼  -  |安宁庄|369万|单价61134元/平米
海淀|安宁庄|清上园 东南向大开间 改造正规一居室 诚意出售|清上园| | 1室1厅 | 63平米 | 南 | 简装|低楼层(共19层)  2002年建板塔结合  -  |安宁庄|310万|单价49207元/平米
海淀|安宁庄|清上园 一区正规大三居 学区房 诚意出售|清上园| | 3室2厅 | 175平米 | 南 北 | 其他|中楼层(共21层)  2003年建板塔结合  -  |安宁庄|890万|单价50858元/平米
海淀|安宁庄|满二年商品房，中间楼层，带电梯，全明格局，小区中心|上林溪| | 2室2厅 | 108平米 | 南 北 | 精装|中楼层(共9层)  2010年建板楼  -  |安宁庄|720万|单价66667元/平米
海淀|安宁庄|上地上林溪 精装两室 板楼电梯房 可签约|上林溪| | 2室1厅 | 92.72平米 | 西 | 精装|高楼层(共9层)  2012年建板楼  -  |安宁庄|565万|单价60937元/平米
海淀|安宁庄|全新社区，全明格局，满二年商品房，不把边不临街|上林溪| | 2室2厅 | 109.3平米 | 南 北 | 精装|低楼层(共9层)  2010年建板楼  -  |安宁庄|660万|单价60385元/平米
海淀|安宁庄|安宁里南北通透两居 满五年公房 个税1个点|安宁里| | 2室1厅 | 60.85平米 | 南 北 | 简装|低楼层(共6层)  1994年建板楼  -  |安宁庄|350万|单价57519元/平米
海淀|安宁庄|清上园高楼层西北开间已改一居室 随时签约|清上园| | 1室0厅 | 57.9平米 | 西北 | 精装|高楼层(共19层)  2002年建板塔结合  -  |安宁庄|310万|单价53541元/平米
海淀|安宁庄|海淀产权，经典开间可落户上学!|安宁佳园| | 1室0厅 | 37平米 | 北 | 简装|中楼层(共18层)  2007年建塔楼  -  |安宁庄|250万|单价67568元/平米
海淀|安宁庄|安宁佳园 1室0厅 250万|安宁佳园| | 1室0厅 | 39.01平米 | 北 | 其他|高楼层(共18层)  2007年建板塔结合  -  |安宁庄|250万|单价64087元/平米
海淀|安宁庄|丝绸厂宿舍 2室1厅 258万|丝绸厂宿舍| | 2室1厅 | 54.4平米 | 西南 | 毛坯|中楼层(共6层)  1984年建板楼  -  |安宁庄|258万|单价47427元/平米
海淀|安宁庄|金达园 全明格局  中间楼层 南北通透三居 业主诚售|金达园| | 3室2厅 | 121.87平米 | 南 北 | 其他|中楼层(共6层)  1997年建板楼  -  |安宁庄|390万|单价32002元/平米
海淀|安宁庄|丝绸厂宿舍  正规两居室  诚心出售     |丝绸厂宿舍| | 2室1厅 | 50.1平米 | 东北 | 其他|高楼层(共6层)  1984年建板楼  -  |安宁庄|270万|单价53893元/平米
海淀|安宁庄|海淀实验二小，正规大两居，南北黄金楼层，诚心出售|安宁里| | 2室1厅 | 60.85平米 | 南 北 | 毛坯|低楼层(共6层)  1994年建板楼  -  |安宁庄|360万|单价59162元/平米
海淀|安宁庄|上地上林溪 正规一居室可改两居 精装修满二|上林溪| | 1室2厅 | 68平米 | 西 | 其他|高楼层(共9层)  2012年建板楼  -  |安宁庄|408万|单价60000元/平米
海淀|安宁庄|清上园 一期正规两居室 诚意出售|清上园| | 2室1厅 | 77.16平米 | 西北 | 其他|高楼层(共15层)  2003年建板塔结合  -  |安宁庄|405万|单价52489元/平米
海淀|安宁庄|安宁里优质复式、东西通透、随时看房、|安宁里南区| | 6室1厅 | 198平米 | 东 西 | 其他|高楼层(共7层)  1999年建板楼  -  |安宁庄|638万|单价32223元/平米
海淀|安宁庄|清上园东南开间 满两年诚意出售 看房基本随时|清上园| | 1室1厅 | 60.16平米 | 东南 | 精装|低楼层(共19层)  2002年建板塔结合  -  |安宁庄|320万|单价53192元/平米
海淀|安宁庄|金达园满五唯一精装修带双卫三居室|金达园| | 3室2厅 | 111.95平米 | 南 北 | 精装|中楼层(共6层)  1998年建板楼  -  |安宁庄|400万|单价35731元/平米
海淀|安宁庄|毛纺北小区正规两居低楼层带学区诚心出售|毛纺住宅北小区| | 2室1厅 | 56平米 | 东 西 | 其他|低楼层(共6层)  1992年建板楼  -  |安宁庄|350万|单价62500元/平米
海淀|安宁庄|2007年成熟社区，送全新精装修，中间层，电梯房，约起|安宁佳园| | 2室1厅 | 88.6平米 | 东南 | 精装|中楼层(共18层)  2007年建塔楼  -  |安宁庄|485万|单价54741元/平米
海淀|安宁庄|北京市二十中  钻石二层 南北通透 海淀实验二小|安宁里南区| | 1室1厅 | 53.6平米 | 南 北 | 简装|低楼层(共7层)  1999年建板楼  -  |安宁庄|290万|单价54105元/平米
海淀|安宁庄|金达园大三居，高楼层，视野广，没有遮挡|金达园| | 3室2厅 | 144.29平米 | 南 西 北 | 其他|高楼层(共6层)  1998年建板楼  -  |安宁庄|385万|单价26683元/平米
海淀|安宁庄|海淀清河 地壳所南北通透两居 满五唯一 业主诚意出售|地壳所| | 2室1厅 | 60平米 | 南 北 | 其他|低楼层(共5层)  1981年建板楼  -  |安宁庄|350万|单价58334元/平米
海淀|安宁庄|阳光北里 2室1厅 450万|阳光北里| | 2室1厅 | 95.1平米 | 东南 | 其他|高楼层(共18层)  1998年建塔楼  -  |安宁庄|450万|单价47319元/平米
海淀|安宁庄|清上园 南北通透 精装大两居 户型方正居住舒适|清上园| | 2室1厅 | 124.96平米 | 南 北 | 简装|高楼层(共19层)  2002年建板塔结合  -  |安宁庄|585万|单价46815元/平米
海淀|安宁庄|龙兴园南区顶层复式 简单装修 诚意出售|龙兴园南区| | 4室2厅 | 176.64平米 | 南 北 | 简装|高楼层(共7层)  1999年建板楼  -  |安宁庄|485万|单价27457元/平米
海淀|安宁庄|毛纺住宅北小区 黄金楼层 业主看好房了，诚心出售|毛纺住宅北小区| | 1室1厅 | 39.6平米 | 东 南 | 简装|中楼层(共7层)  1992年建板楼  -  |安宁庄|255万|单价64394元/平米
海淀|安宁庄|海淀上地上林溪2011年社区精装南向一居室|上林溪| | 1室0厅 | 44平米 | 南 | 其他|低楼层(共11层)  2011年建板楼  -  |安宁庄|280万|单价63637元/平米
海淀|安宁庄|金达园 2室1厅 320万|金达园| | 2室1厅 | 82.53平米 | 南 北 | 精装|中楼层(共6层)  1997年建板楼  -  |安宁庄|320万|单价38774元/平米
海淀|安宁庄|清上园一层带花园带半地下的板楼三居室|清上园| | 3室3厅 | 106.05平米 | 南 北 | 简装|低楼层(共6层)  2004年建板楼  -  |安宁庄|800万|单价75437元/平米
海淀|安宁庄|动力厂宿舍南北通透正规两居室 海淀实验二小学区|动力厂宿舍| | 2室1厅 | 58平米 | 南 北 | 精装|高楼层(共6层)  1988年建板楼  -  |安宁庄|305万|单价52587元/平米
海淀|安宁庄|金达园大一居  精装修，看房随时|金达园| | 1室1厅 | 56.36平米 | 东 | 精装|中楼层(共5层)  1994年建板楼  -  |安宁庄|215万|单价38148元/平米
海淀|安宁庄|精装修 东南朝向 中间层 带电梯 可以改两居 育鹰学区 |安宁佳园| | 1室1厅 | 56.2平米 | 东南 | 精装|中楼层(共18层)  2007年建塔楼  -  |安宁庄|350万|单价62278元/平米
海淀|安宁庄|毛北两居室随时可看，主卧带阳台，学区未占用|毛纺住宅北小区| | 2室1厅 | 60平米 | 东 西 | 简装|高楼层(共7层)  1992年建板楼  -  |安宁庄|330万|单价55000元/平米
海淀|安宁庄|天巢园,一居室,看房方便.诚心出售|天巢园| | 1室1厅 | 62平米 | 南 | 其他|中楼层(共22层)  2010年建塔楼  -  |安宁庄|220万|单价35484元/平米
海淀|安宁庄|安宁佳园精装两居室 看房随时方便 产权清晰 随时签约|安宁佳园| | 2室2厅 | 77.6平米 | 东 北 | 精装|低楼层(共18层)  2007年建塔楼  -  |安宁庄|465万|单价59923元/平米
海淀|安宁庄|安宁佳园南北通透三居室 精装修 电梯房 诚心出售|安宁佳园| | 3室1厅 | 103.58平米 | 南 北 | 精装|中楼层(共18层)  2007年建板塔结合  -  |安宁庄|550万|单价53100元/平米
海淀|安宁庄|东南向金角两居室 高楼层直观盘古大观 视野宽敞|天巢园| | 2室1厅 | 83.83平米 | 东南 | 其他|高楼层(共22层)  2010年建塔楼  -  |安宁庄|323万|单价38531元/平米
海淀|安宁庄|海淀清河安宁里南区精装全南向两居 海淀重点学区|安宁里南区| | 2室2厅 | 97.45平米 | 南 西 | 简装|中楼层(共18层)  1999年建塔楼  -  |安宁庄|480万|单价49257元/平米
海淀|安宁庄|海淀实验二小，南北通透，黄金楼层，业主诚心出售。|安宁里| | 2室1厅 | 68.3平米 | 南 北 | 简装|中楼层(共6层)  1993年建板楼  -  |安宁庄|360万|单价52709元/平米
海淀|安宁庄|丝绸厂宿舍 2室1厅 290万|丝绸厂宿舍| | 2室1厅 | 54.5平米 | 南 北 | 简装|中楼层(共6层)  1984年建板楼  -  |安宁庄|290万|单价53212元/平米
海淀|安宁庄|清上园一期东南向大两居全明格局|清上园| | 2室1厅 | 122.35平米 | 南 | 其他|低楼层(共19层)  2002年建板塔结合  -  |安宁庄|440万|单价35963元/平米
海淀|安宁庄|上林溪 2室1厅 590万|上林溪| | 2室1厅 | 94平米 | 南 | 其他|高楼层(共21层)  2010年建板楼  -  |安宁庄|590万|单价62766元/平米
海淀|安宁庄|水利局一处宿舍 1室1厅 260万|水利局一处宿舍| | 1室1厅 | 43平米 | 南 | 简装|中楼层(共5层)  1988年建板楼  -  |安宁庄|260万|单价60466元/平米
海淀|安宁庄|海淀实验二小学区房，南北通透，精装修，业主诚心出售|安宁里| | 1室1厅 | 52.4平米 | 南 北 | 精装|高楼层(共6层)  1993年建板楼  -  |安宁庄|286万|单价54581元/平米
