门头沟|滨河西区|滨河承泽苑   满五唯一  黄金地段|承泽苑| | 3室1厅 | 96.88平米 | 南 北 | 精装|低楼层(共6层)  2000年建板楼  -  |滨河西区|292万|单价30141元/平米
门头沟|滨河西区|德露苑出售朝南三面采光紧邻大峪中学两居室|德露苑| | 2室1厅 | 71平米 | 南 | 简装|高楼层(共6层)  1998年建板楼  -  |滨河西区|200万|单价28170元/平米
门头沟|滨河西区|门头沟 滨河西区 倚山嘉园 精装修 一居室|倚山嘉园| | 1室1厅 | 60.4平米 | 东 | 精装|中楼层(共14层)  2005年建板楼  -  |滨河西区|170万|单价28146元/平米
门头沟|滨河西区|好的房子不是用来欣赏的，是用来享受的|永兴嘉园| | 2室1厅 | 95平米 | 东 南 | 其他|高楼层(共14层)  2007年建塔楼  -  |滨河西区|273万|单价28737元/平米
门头沟|滨河西区|阜石路旁 南北通透 满五唯一 中楼层 市政水暖|含晖苑| | 2室2厅 | 98.9平米 | 南 北 | 精装|中楼层(共6层)  2007年建板楼  -  |滨河西区|290万|单价29323元/平米
门头沟|滨河西区|霁月苑三居。满五唯一，看房方便|霁月园| | 3室1厅 | 118平米 | 南 北 | 简装|高楼层(共6层)  2006年建板楼  -  |滨河西区|330万|单价27967元/平米
门头沟|滨河西区|免税房  低总价  楼龄新  采光好  两居室  紧邻阜石路|承泽苑| | 2室1厅 | 78.94平米 | 南 西 | 精装|高楼层(共6层)  2000年建板楼  -  |滨河西区|172万|单价21789元/平米
门头沟|滨河西区|含晖苑  复式大房  满五唯一  带40平米露台|含晖苑| | 5室2厅 | 221.77平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |滨河西区|408万|单价18398元/平米
门头沟|滨河西区|含晖苑带电梯中楼层，满五年，唯一住房。|含晖苑| | 2室2厅 | 87.39平米 | 南 | 精装|中楼层(共10层)  2007年建板楼  -  |滨河西区|270万|单价30896元/平米
门头沟|滨河西区|南北通透两居室 全明格局 直接入住|新桥南大街| | 2室1厅 | 61.93平米 | 南 北 | 简装|高楼层(共6层)  1988年建板楼  -  |滨河西区|150万|单价24221元/平米
门头沟|滨河西区|皓月园 5室2厅 380万|皓月园| | 5室2厅 | 192.35平米 | 南 北 | 简装|高楼层(共6层)  2005年建板楼  -  |滨河西区|380万|单价19756元/平米
门头沟|滨河西区|倚山嘉园 南北通透 6+7复式 送露台 满五年唯一住房|倚山嘉园| | 4室2厅 | 167平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |滨河西区|340万|单价20360元/平米
门头沟|滨河西区|临镜苑 临近快四公交 南北五居室三个卫生间大复式|临镜苑| | 5室2厅 | 297平米 | 南 北 | 精装|高楼层(共18层)  2008年建板楼  -  |滨河西区|950万|单价31987元/平米
门头沟|滨河西区|皓月园大复式 满五唯一住房 精装修|皓月园| | 5室1厅 | 164.75平米 | 南 北 | 其他|高楼层(共6层)  2005年建板楼  -  |滨河西区|370万|单价22459元/平米
门头沟|滨河西区|德露苑6+7大复式，带露台，南北通透|德露苑| | 4室2厅 | 158.83平米 | 南 北 | 精装|高楼层(共6层)  1999年建板楼  -  |滨河西区|300万|单价18889元/平米
门头沟|滨河西区|精装复式房 五居室 户型好 南北通透|含晖苑| | 5室2厅 | 225平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |滨河西区|500万|单价22223元/平米
门头沟|滨河西区|皓月园6+7复式 满五唯一 急售 靠谱 靠谱|皓月园| | 4室2厅 | 167.4平米 | 南 北 | 简装|高楼层(共6层)  2005年建板楼  -  |滨河西区|389万|单价23238元/平米
门头沟|滨河西区|德露苑6+7复式，满五年，唯一住房|德露苑| | 6室2厅 | 164.1平米 | 南 北 | 简装|高楼层(共6层)  1998年建板楼  -  |滨河西区|338万|单价20598元/平米
门头沟|滨河西区|北京人家南北通透6+7复式满五唯一	|德露苑| | 5室2厅 | 165.12平米 | 南 北 | 简装|高楼层(共6层)  1998年建板楼  -  |滨河西区|320万|单价19380元/平米
门头沟|滨河西区|皓月园6+7 满五唯一 住房 在售 靠谱|皓月园| | 4室2厅 | 165平米 | 南 北 | 精装|高楼层(共6层)  2005年建板楼  -  |滨河西区|399万|单价24182元/平米
门头沟|滨河西区|滨河含晖苑  6+7复式 满五唯一|含晖苑| | 5室3厅 | 165平米 | 南 北 | 其他|高楼层(共6层)  2007年建板楼  -  |滨河西区|415万|单价25152元/平米
门头沟|滨河西区|倚山家园 两居室 电梯房 南向户型 |倚山嘉园| | 2室1厅 | 94平米 | 南 | 简装|低楼层(共14层)  2005年建板楼  -  |滨河西区|253万|单价26915元/平米
门头沟|滨河西区|滨河西区霁月园     精装三居室  明厨明卫|霁月园| | 3室1厅 | 98平米 | 东 西 | 简装|高楼层(共6层)  2006年建板楼  -  |滨河西区|255万|单价26021元/平米
门头沟|滨河西区|葡东小区两居室  满五唯一  总价低  免费车位|葡东小区| | 2室2厅 | 70.46平米 | 南 北 | 简装|地下室(共6层)  2002年建板楼  -  |滨河西区|122万|单价17315元/平米
门头沟|滨河西区|德露苑 1室1厅 175万|德露苑| | 1室1厅 | 67.5平米 | 南 北 | 精装|高楼层(共6层)  1999年建板楼  -  |滨河西区|175万|单价25926元/平米
门头沟|滨河西区|月季园东里 3室1厅 170万|月季园东里| | 3室1厅 | 62.9平米 | 东 西 | 精装|高楼层(共6层)  1995年建板楼  -  |滨河西区|170万|单价27028元/平米
门头沟|滨河西区|葡山公园对面 板楼高层 满五唯一|葡东小区| | 2室1厅 | 93.04平米 | 南 北 | 精装|高楼层(共6层)  2002年建板楼  -  |滨河西区|210万|单价22571元/平米
门头沟|滨河西区|门头沟月季园小区 低层次 精装修 交通方便|门头沟月季园| | 2室1厅 | 60平米 | 南 北 | 其他|低楼层(共6层)  1990年建塔楼  -  |滨河西区|163万|单价27167元/平米
门头沟|滨河西区|德露苑，低层次，户型方正，小区中心位置|德露苑| | 2室1厅 | 83.09平米 | 南 北 | 简装|低楼层(共7层)  1999年建板楼  -  |滨河西区|195万|单价23469元/平米
门头沟|滨河西区|承泽苑小区 精装修 南北通透 满五唯一 交通便利|承泽苑| | 3室1厅 | 93.7平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |滨河西区|260万|单价27749元/平米
门头沟|滨河西区|绮霞苑 南北通透 满五唯一   带已封好的露台|绮霞苑| | 1室1厅 | 62平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |滨河西区|200万|单价32259元/平米
门头沟|滨河西区|承泽苑小区三居室 满五唯一 精装修 交通便利 配套齐全|承泽苑| | 3室1厅 | 96.88平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |滨河西区|215万|单价22193元/平米
门头沟|滨河西区|皓月园 4室2厅 460万|皓月园| | 4室2厅 | 192.18平米 | 南 北 | 其他|高楼层(共6层)  2005年建板楼  -  |滨河西区|460万|单价23936元/平米
门头沟|滨河西区|皓月园 4室2厅 398万|皓月园| | 4室2厅 | 168.71平米 | 南 北 | 精装|高楼层(共6层)  2005年建板楼  -  |滨河西区|398万|单价23591元/平米
门头沟|滨河西区|阜石路绮霞苑 南北通透一居室 送露台 满五唯一 |绮霞苑| | 1室1厅 | 61.53平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |滨河西区|185万|单价30067元/平米
门头沟|滨河西区|永兴小区 南北通透 紧邻莲石路 出行方便|永兴小区| | 2室1厅 | 75.28平米 | 南 北 | 精装|高楼层(共6层)  1996年建板楼  -  |滨河西区|212万|单价28162元/平米
门头沟|滨河西区|德露苑低楼层两居 南北通透 满五唯一|德露苑| | 2室1厅 | 98平米 | 南 北 | 精装|低楼层(共6层)  1998年建板楼  -  |滨河西区|266万|单价27143元/平米
门头沟|滨河西区|含晖苑 5室2厅 400万|含晖苑| | 5室2厅 | 166平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |滨河西区|400万|单价24097元/平米
门头沟|滨河西区|霁月园正规 两居室  好楼层 满五年唯一|霁月园| | 2室1厅 | 87平米 | 南 西 | 精装|中楼层(共6层)  2006年建板楼  -  |滨河西区|250万|单价28736元/平米
门头沟|滨河西区|滨河承泽苑  南北通透大三局 交通购物便利|承泽苑| | 3室1厅 | 112.75平米 | 南 北 | 精装|高楼层(共6层)  2000年建板楼  -  |滨河西区|260万|单价23060元/平米
门头沟|滨河西区|皓月园正规两居室 电梯房 急售满五唯一|皓月园| | 2室1厅 | 88平米 | 东北 | 其他|低楼层(共16层)  2006年建板塔结合  -  |滨河西区|260万|单价29546元/平米
门头沟|滨河西区|精装修两居室，南北通透户型，双卧室一南一北|新桥南大街| | 2室1厅 | 63.88平米 | 南 北 | 其他|高楼层(共6层)  1988年建板楼  -  |滨河西区|145万|单价22699元/平米
门头沟|滨河西区|滨河霁月园南北通透大三居满五唯一|霁月园| | 3室1厅 | 123.27平米 | 南 北 | 精装|高楼层(共6层)  2006年建板楼  -  |滨河西区|365万|单价29610元/平米
门头沟|滨河西区|滨河临镜苑南北通透阳光房 看房方便 品质小区|临镜苑| | 4室1厅 | 147.25平米 | 南 北 | 简装|高楼层(共18层)  2008年建板楼  -  |滨河西区|415万|单价28184元/平米
门头沟|滨河西区|正南朝向两居室 把边户型 全明格局|新桥南大街| | 2室1厅 | 54.69平米 | 南 | 简装|高楼层(共6层)  1988年建板楼  -  |滨河西区|140万|单价25599元/平米
门头沟|滨河西区|月季园一 层带小院 房源紧缺 可随时出售|门头沟月季园| | 2室1厅 | 91平米 | 南 | 其他|低楼层(共6层)  1992年建板楼  -  |滨河西区|250万|单价27473元/平米
门头沟|滨河西区|月季园 纯南向两居室 全明格局采光好|门头沟月季园| | 2室1厅 | 63.09平米 | 南 | 精装|高楼层(共6层)  1990年建板楼  -  |滨河西区|139万|单价22033元/平米
门头沟|滨河西区|刚需首选 改善必备 南北通透 生活方便|新桥南大街| | 3室1厅 | 116.66平米 | 东 南 北 | 简装|高楼层(共6层)  1994年建板楼  -  |滨河西区|310万|单价26573元/平米
门头沟|滨河西区|含晖苑 低楼层 南北通透 三室两厅 双卫生间  |含晖苑| | 3室2厅 | 123.78平米 | 南 北 | 精装|低楼层(共6层)  2005年建板楼  -  |滨河西区|375万|单价30296元/平米
门头沟|滨河西区|皓月园 1室1厅 168万|皓月园| | 1室1厅 | 58.99平米 | 东 西 | 精装|高楼层(共6层)  2005年建板楼  -  |滨河西区|168万|单价28480元/平米
门头沟|滨河西区|皓月园 1室1厅 200万|皓月园| | 1室1厅 | 66.3平米 | 南 | 精装|中楼层(共16层)  2006年建板塔结合  -  |滨河西区|200万|单价30166元/平米
门头沟|滨河西区|阜石路旁 南西北三面采光 复式结构 带电梯 观门城风景|临镜苑| | 5室2厅 | 300平米 | 南 北 | 毛坯|高楼层(共16层)  2008年建板楼  -  |滨河西区|990万|单价33000元/平米
门头沟|滨河西区|倚山嘉园 复式房 有钥匙 看房方便|倚山嘉园| | 4室2厅 | 180平米 | 南 北 | 简装|高楼层(共6层)  2008年建板楼  -  |滨河西区|340万|单价18889元/平米
门头沟|滨河西区|倚山嘉园 2室2厅 260万|倚山嘉园| | 2室2厅 | 99.55平米 | 南 北 | 简装|高楼层(共14层)  2005年建板楼  -  |滨河西区|260万|单价26118元/平米
门头沟|滨河西区|绮霞苑 南北双通透 精装三居 紧邻阜石路|绮霞苑| | 3室1厅 | 110.11平米 | 南 北 | 精装|低楼层(共18层)  2003年建板楼  -  |滨河西区|300万|单价27246元/平米
门头沟|滨河西区|阜石路线 满五年 总价低 首付低|临镜苑| | 1室1厅 | 48.5平米 | 东 | 简装|低楼层(共12层)  2008年建板楼  -  |滨河西区|140万|单价28866元/平米
门头沟|滨河西区|皓月园 1室0厅 140万|皓月园| | 1室0厅 | 46.38平米 | 北 | 精装|中楼层(共14层)  2006年建板塔结合  -  |滨河西区|140万|单价30186元/平米
门头沟|滨河西区|霁月园6+7复式楼 诚心卖 面积大 价钱低|霁月园| | 4室2厅 | 204.5平米 | 南 北 | 简装|高楼层(共6层)  2006年建板楼  -  |滨河西区|340万|单价16626元/平米
门头沟|滨河西区|钥匙房 月季园东里 小两居室 看房随时|月季园东里| | 2室1厅 | 56.85平米 | 南 北 | 毛坯|高楼层(共6层)  1993年建板楼  -  |滨河西区|150万|单价26386元/平米
门头沟|滨河西区|含晖苑大复式 精装修 南北通透 交通便利 配套齐全|含晖苑| | 5室2厅 | 190.8平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |滨河西区|390万|单价20441元/平米
门头沟|滨河西区|葡东小区 南北通透 满两年 半地下				|葡东小区| | 3室1厅 | 91.47平米 | 南 北 | 简装|地下室(共6层)  2002年建板楼  -  |滨河西区|145万|单价15853元/平米
门头沟|滨河西区|葡东小区  南北通透三居室  满五唯一|葡东小区| | 3室1厅 | 98.99平米 | 南 北 | 简装|高楼层(共6层)  1995年建板楼  -  |滨河西区|242万|单价24447元/平米
门头沟|滨河西区|室内干净整洁 中间楼层 视野宽阔 采光充足  |葡东南区| | 1室1厅 | 51.13平米 | 西 | 精装|中楼层(共6层)  2004年建板楼  -  |滨河西区|138万|单价26991元/平米
门头沟|滨河西区|熙旺中心 1室0厅 88万|熙旺中心| | 1室0厅 | 66.98平米 | 东 | 精装|中楼层(共26层)  2010年建塔楼  -  |滨河西区|88万|单价13139元/平米
门头沟|滨河西区|月季园大两居南北通透有钥匙随时看|门头沟月季园| | 2室1厅 | 87.99平米 | 南 北 | 简装|高楼层(共6层)  1992年建板楼  -  |滨河西区|180万|单价20457元/平米
门头沟|滨河西区|全南向 采光好 刚需首选 总价低|新桥南大街| | 2室1厅 | 52.53平米 | 南 | 其他|高楼层(共6层)  1988年建板楼  -  |滨河西区|120万|单价22845元/平米
门头沟|滨河西区|承泽苑  板楼中间层  东西通透两居  业主诚意出售|承泽苑| | 2室1厅 | 80.43平米 | 东 西 | 精装|低楼层(共6层)  2000年建板楼  -  |滨河西区|220万|单价27353元/平米
门头沟|滨河西区|倚山嘉园 2室1厅 260万|倚山嘉园| | 2室1厅 | 86.14平米 | 南 北 | 精装|中楼层(共6层)  2008年建板楼  -  |滨河西区|260万|单价30184元/平米
门头沟|滨河西区|绮霞苑 南北通透两居 生活配套齐全 紧邻阜石路|绮霞苑| | 2室1厅 | 84.57平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |滨河西区|248万|单价29325元/平米
门头沟|滨河西区|此房满五唯一 东南朝向大两居 户型好 楼层好|永兴嘉园| | 2室1厅 | 95平米 | 东 南 | 简装|中楼层(共14层)  2007年建塔楼  -  |滨河西区|275万|单价28948元/平米
门头沟|滨河西区|皓月园正规一室一厅  免税房源|皓月园| | 1室1厅 | 58平米 | 东 北 | 其他|低楼层(共14层)  2006年建板塔结合  -  |滨河西区|160万|单价27587元/平米
门头沟|滨河西区|月季园小区  高楼层 三居室 南北通透 |门头沟月季园| | 3室1厅 | 80.1平米 | 南 北 | 简装|高楼层(共6层)  1990年建板楼  -  |滨河西区|185万|单价23097元/平米
门头沟|滨河西区|月季园东里一居室价钱低 看房提前约|月季园东里| | 1室1厅 | 41.67平米 | 南 | 简装|高楼层(共6层)  1993年建板楼  -  |滨河西区|120万|单价28798元/平米
门头沟|滨河西区|德露苑      三面采光   低楼层   两居室|德露苑| | 2室1厅 | 71.4平米 | 南 | 精装|低楼层(共6层)  1998年建板楼  -  |滨河西区|210万|单价29412元/平米
门头沟|滨河西区|正规两居      东西通透      精装修|葡东南区| | 2室1厅 | 94.5平米 | 东 西 | 精装|高楼层(共6层)  2004年建板楼  -  |滨河西区|220万|单价23281元/平米
门头沟|滨河西区|承泽苑 2室1厅 196万|承泽苑| | 2室1厅 | 72.93平米 | 东 西 | 简装|中楼层(共6层)  2000年建板楼  -  |滨河西区|196万|单价26876元/平米
门头沟|滨河西区|门头沟月季园 2室1厅 140万|门头沟月季园| | 2室1厅 | 64.35平米 | 南 北 | 精装|中楼层(共6层)  1990年建板楼  -  |滨河西区|140万|单价21757元/平米
门头沟|滨河西区|阜石路沿线 南北通透的两居室。 |绮霞苑| | 2室1厅 | 84.47平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |滨河西区|270万|单价31965元/平米
门头沟|滨河西区|南北通透 板楼 面积小总价低 位置好|双峪路小区| | 2室1厅 | 56.65平米 | 南 北 | 简装|高楼层(共5层)  1983年建板楼  -  |滨河西区|140万|单价24714元/平米
门头沟|滨河西区|精装修的两居室，房主靠谱，满五唯一|皓月园| | 2室1厅 | 93.75平米 | 东 西 | 其他|高楼层(共16层)  2006年建板塔结合  -  |滨河西区|260万|单价27734元/平米
门头沟|滨河西区|临镜苑 南北通透精装两居 紧邻阜石路|临镜苑| | 2室1厅 | 83平米 | 南 北 | 精装|高楼层(共6层)  2004年建板楼  -  |滨河西区|260万|单价31326元/平米
门头沟|滨河西区|电梯房 两居精装 不限购可注册办公居住|熙旺中心| | 2室1厅 | 92.5平米 | 南 北 | 精装|中楼层(共25层)  2010年建塔楼  -  |滨河西区|150万|单价16217元/平米
门头沟|滨河西区|月季园小区  朝南向  交通便利   采光好|门头沟月季园| | 2室1厅 | 62.99平米 | 南 | 简装|高楼层(共6层)  1990年建板楼  -  |滨河西区|143万|单价22703元/平米
门头沟|滨河西区|承泽苑 2层+3层复式  南北通透  配套齐全|承泽苑| | 4室1厅 | 146平米 | 南 北 | 简装|中楼层(共5层)  2000年建板楼  -  |滨河西区|350万|单价23973元/平米
门头沟|滨河西区|承泽苑 2室1厅 190万|承泽苑| | 2室1厅 | 78.7平米 | 东 西 | 简装|低楼层(共6层)  2000年建板楼  -  |滨河西区|190万|单价24143元/平米
门头沟|滨河西区|电梯房南北通透阜石路旁正规三居室|临镜苑| | 3室2厅 | 113.99平米 | 南 北 | 精装|低楼层(共18层)  2008年建板楼  -  |滨河西区|385万|单价33775元/平米
门头沟|滨河西区|满五、唯一  南北通透 大复式 带露台|德露苑| | 4室2厅 | 152平米 | 南 北 | 简装|高楼层(共6层)  1998年建板楼  -  |滨河西区|320万|单价21053元/平米
门头沟|滨河西区|含晖苑 出售 南北通透  一居室|含晖苑| | 1室1厅 | 70.38平米 | 南 北 | 精装|低楼层(共6层)  2005年建板楼  -  |滨河西区|178万|单价25292元/平米
门头沟|滨河西区|月季园东里  南北通透 户型合理 交通方便|月季园东里| | 2室1厅 | 57.75平米 | 南 北 | 简装|高楼层(共6层)  1994年建板楼  -  |滨河西区|145万|单价25109元/平米
门头沟|滨河西区|阜石路高架桥下来就到 商住不限购 可注册办公居住|熙旺中心| | 1室0厅 | 45.78平米 | 南 | 精装|中楼层(共26层)  2010年建塔楼  -  |滨河西区|70万|单价15291元/平米
门头沟|滨河西区|滨河路3号院 简装 2室1厅 低楼层|滨河路3号| | 2室1厅 | 70.12平米 | 东 西 | 其他|低楼层(共6层)  1995年建板楼  -  |滨河西区|168万|单价23959元/平米
门头沟|滨河西区|葡东小区   两居室    低楼层  |葡东小区| | 2室1厅 | 68平米 | 南 西 | 精装|低楼层(共6层)  1998年建板楼  -  |滨河西区|185万|单价27206元/平米
门头沟|滨河西区|阜石路旁 滨河居住区 两居2002年|葡东小区| | 2室1厅 | 76.5平米 | 南 北 | 简装|高楼层(共6层)  2002年建板楼  -  |滨河西区|180万|单价23530元/平米
门头沟|滨河西区|皓月园 1室1厅 140万|皓月园| | 1室1厅 | 52.85平米 | 西 北 | 简装|中楼层(共6层)  2005年建板楼  -  |滨河西区|140万|单价26491元/平米
门头沟|滨河西区|标准大两居 中等装修 户型好    房本满五年|石龙北路26号院| | 2室1厅 | 93平米 | 东 西 | 精装|高楼层(共6层)  1997年建板楼  -  |滨河西区|235万|单价25269元/平米
门头沟|滨河西区|承泽苑 2室1厅 205万|承泽苑| | 2室1厅 | 83.98平米 | 南 西 北 | 精装|高楼层(共6层)  2000年建板楼  -  |滨河西区|205万|单价24411元/平米
门头沟|滨河西区|绮霞苑 3室1厅 380万|绮霞苑| | 3室1厅 | 117平米 | 北 南 | 其他|高楼层(共18层)  2003年建板楼  -  |滨河西区|380万|单价32479元/平米
门头沟|滨河西区|霁月园 电梯房 南北通透 全明格局 精装修|霁月园| | 4室2厅 | 153平米 | 南 北 | 精装|中楼层(共16层)  2006年建板楼  -  |滨河西区|459万|单价30000元/平米
门头沟|滨河西区|改善推荐 配套齐全 交通便利 采光好|新桥南大街| | 2室1厅 | 67.4平米 | 东 西 | 其他|高楼层(共5层)  1992年建板楼  -  |滨河西区|162万|单价24036元/平米
门头沟|滨河西区|含晖苑两居室 中楼层 南北通透 阳面客厅 阳面主卧|含晖苑| | 2室1厅 | 89平米 | 南 北 | 其他|中楼层(共6层)  2005年建板楼  -  |滨河西区|265万|单价29776元/平米
门头沟|滨河西区|含晖苑 5室2厅 500万|含晖苑| | 5室2厅 | 192平米 | 南 北 | 简装|高楼层(共6层)  2007年建板楼  -  |滨河西区|500万|单价26042元/平米
门头沟|滨河西区|德露苑6+7复式，单价1W6，带露台，南北通透有装修|德露苑| | 4室2厅 | 152.27平米 | 南 北 | 简装|高楼层(共6层)  1998年建板楼  -  |滨河西区|285万|单价18717元/平米
门头沟|滨河西区|霁月园 电梯房 中间楼层 大四居 |霁月园| | 4室2厅 | 212平米 | 南 西 北 | 毛坯|中楼层(共16层)  2006年建板楼  -  |滨河西区|500万|单价23585元/平米
门头沟|滨河西区|德露苑小区 简装 大复式 出售|德露苑| | 4室2厅 | 173.48平米 | 南 北 | 其他|高楼层(共6层)  1999年建板楼  -  |滨河西区|350万|单价20176元/平米
门头沟|滨河西区|德露苑6+7大复式，5室2厅，带露台，南北通透|德露苑| | 5室2厅 | 164.56平米 | 南 北 | 简装|高楼层(共6层)  1998年建板楼  -  |滨河西区|325万|单价19750元/平米
门头沟|滨河西区|含晖苑  1+2复式 带车库 紧邻阜石路高架桥|含晖苑| | 3室2厅 | 183.41平米 | 南 北 | 精装|低楼层(共6层)  2005年建板楼  -  |滨河西区|535万|单价29170元/平米
门头沟|滨河西区|门头沟月季园 低楼层两居室 南北通透  配套完善|门头沟月季园| | 2室1厅 | 60平米 | 南 北 | 简装|低楼层(共6层)  1989年建板楼  -  |滨河西区|172万|单价28667元/平米
门头沟|滨河西区|皓月园 1室1厅 185万|皓月园| | 1室1厅 | 56.66平米 | 南 | 其他|中楼层(共14层)  2006年建板塔结合  -  |滨河西区|185万|单价32651元/平米
门头沟|滨河西区|门头沟阜石路边霁月圆，精装复式6+7.|霁月园| | 4室2厅 | 206平米 | 南 北 | 精装|高楼层(共6层)  2006年建板楼  -  |滨河西区|390万|单价18933元/平米
门头沟|滨河西区|皓月园 2室1厅 245万|皓月园| | 2室1厅 | 97.84平米 | 东 南 西 | 精装|高楼层(共16层)  2006年建板塔结合  -  |滨河西区|245万|单价25041元/平米
门头沟|滨河西区|阜石路出口 绮霞苑 黄金楼层 南北通透  两居|绮霞苑| | 2室1厅 | 85平米 | 南 北 | 简装|中楼层(共6层)  2003年建板楼  -  |滨河西区|253万|单价29765元/平米
