通州|北关|精装南北两居 满五唯一 看房有钥匙 诚意售|富河园| | 2室1厅 | 70.1平米 | 南 北 | 精装|高楼层(共6层)  1995年建板楼  -  |北关|280万|单价39943元/平米
通州|北关|北关 西潞苑小区 正规两居室 紧邻通州商务园|西潞苑小区| | 2室1厅 | 75.66平米 | 南 北 | 简装|高楼层(共6层)  1997年建板楼  -  |北关|260万|单价34365元/平米
通州|北关|满五年唯一免税房 南北通透 低楼层 采光好 全明格局|西潞苑小区| | 2室1厅 | 78.79平米 | 南 北 | 简装|低楼层(共6层)  1995年建板楼  -  |北关|265万|单价33634元/平米
通州|北关|温榆河畔翠福园 精装免税大二居 南北通透送阁楼|翠福园| | 2室2厅 | 99.65平米 | 南 北 | 精装|高楼层(共6层)  2004年建板楼  -  |北关|295万|单价29604元/平米
通州|北关|满五唯一 正规一居室  一层带小院 拎包入住|翠福园| | 1室1厅 | 61.26平米 | 东 北 | 简装|低楼层(共6层)  2003年建板楼  -  |北关|230万|单价37545元/平米
通州|北关|换房首选，南北通透两居室.板楼采光很好|西潞苑小区| | 2室2厅 | 85.32平米 | 南 北 | 简装|中楼层(共6层)  2001年建板楼  -  |北关|295万|单价34576元/平米
通州|北关|满五唯一 南北通透  诚意出售 |西潞苑小区| | 3室1厅 | 95.94平米 | 南 北 | 精装|低楼层(共6层)  1997年建板楼  -  |北关|330万|单价34397元/平米
通州|北关|满五唯一，南北通透3居室，双卫，业主诚心卖|西潞苑小区| | 3室2厅 | 120平米 | 南 北 | 简装|高楼层(共6层)  1997年建板楼  -  |北关|330万|单价27500元/平米
通州|北关|满五唯一  精装两居室  带阁楼|翠福园| | 2室1厅 | 89平米 | 南 | 精装|高楼层(共6层)  2004年建板楼  -  |北关|260万|单价29214元/平米
通州|北关|西潞苑 南北通透 中楼层 免税正规两居 |西潞苑小区| | 2室1厅 | 71平米 | 南 北 | 简装|中楼层(共6层)  1999年建板楼  -  |北关|260万|单价36620元/平米
通州|北关|地铁6号线 天赐良园  南北通透复式 带露台|天赐良园二期| | 4室2厅 | 189平米 | 南 北 | 简装|高楼层(共6层)  2001年建板楼  -  |北关|545万|单价28836元/平米
通州|北关|通州新城，地铁六号线，精装复式，带两个露台|天赐良园一期| | 3室2厅 | 122平米 | 南 北 | 精装|高楼层(共6层)  2001年建板楼  -  |北关|380万|单价31148元/平米
通州|北关|阳光大三居，户型好，南北双通透免税|西潞苑小区| | 3室2厅 | 131.24平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |北关|390万|单价29717元/平米
通州|北关|温榆河畔翠福园正规大一居已改二居 已做阁楼 满五唯一|翠福园| | 1室1厅 | 81.5平米 | 北 南 | 简装|高楼层(共6层)  2003年建板楼  -  |北关|270万|单价33129元/平米
通州|北关|西潞苑 满五两居  中楼层 落地飘窗 采光充足|西潞苑小区| | 2室1厅 | 70.95平米 | 南 北 | 简装|低楼层(共6层)  2004年建板楼  -  |北关|220万|单价31008元/平米
通州|北关|低楼层有花园.南北通透三居室.|西潞苑小区| | 3室2厅 | 131.24平米 | 南 北 | 精装|低楼层(共6层)  2003年建板楼  -  |北关|455万|单价34670元/平米
通州|北关|地铁6号线 物资学院 南北2居 大学环境|物资学院家属院| | 2室1厅 | 64.56平米 | 南 北 | 精装|高楼层(共6层)  1991年建板楼  -  |北关|300万|单价46469元/平米
通州|北关| 地铁6号线 天赐良园南北通透 户型方正双卫大三居！|天赐良园东三期| | 3室2厅 | 123平米 | 南 北 | 精装|高楼层(共6层)  2004年建板楼  -  |北关|400万|单价32521元/平米
通州|北关|平层大三居，满五年唯一，格局好，采光好，值得一看！|翠福园| | 3室2厅 | 157平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |北关|430万|单价27389元/平米
通州|北关|温榆河畔正规三居室，静享天伦，拎包入住，周末可看！|西潞苑小区| | 3室1厅 | 105.41平米 | 南 北 | 精装|高楼层(共6层)  1997年建板楼  -  |北关|350万|单价33204元/平米
通州|北关|三世同堂大户型，随时能看！满五年唯一！|西潞苑小区| | 4室2厅 | 153.52平米 | 南 北 | 简装|中楼层(共6层)  1997年建板楼  -  |北关|410万|单价26707元/平米
通州|北关|南北通透正规二居 ，挑高设计，落地阳台，诚心出售|天赐良园东三期| | 2室2厅 | 89.8平米 | 南 北 | 简装|高楼层(共6层)  2004年建板楼  -  |北关|360万|单价40090元/平米
通州|北关|满五唯一 南北通透 可以做阁楼 视野好 |翠福园| | 2室2厅 | 94.12平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |北关|270万|单价28687元/平米
通州|北关|北关 翠福园正规两居室 带阁楼 通州商务园|翠福园| | 2室2厅 | 101.42平米 | 南 北 | 简装|高楼层(共6层)  2005年建板楼  -  |北关|290万|单价28594元/平米
通州|北关|温榆河畔，天赐良园，南北通透两居，带院子|天赐良园二期| | 2室2厅 | 79平米 | 南 北 | 精装|低楼层(共5层)  2002年建板楼  -  |北关|360万|单价45570元/平米
通州|北关|此房满五年 唯一 朝东一居室 户型好|富河园| | 1室1厅 | 53.82平米 | 东 | 简装|高楼层(共6层)  2002年建板楼  -  |北关|230万|单价42736元/平米
通州|北关|西潞苑 免税南北大两居 带小院 精装修 |西潞苑小区| | 2室2厅 | 103.77平米 | 南 北 | 精装|低楼层(共13层)  2002年建板楼  -  |北关|370万|单价35656元/平米
通州|北关|温榆河畔翠福园 南北通透二居 满五唯一带落地窗大阳台|翠福园| | 2室2厅 | 87.75平米 | 南 北 | 精装|高楼层(共6层)  2005年建板楼  -  |北关|285万|单价32479元/平米
通州|北关|满五唯一 2居室 业主诚心出售|翠福园| | 2室1厅 | 88平米 | 南 北 | 简装|高楼层(共6层)  2005年建板楼  -  |北关|280万|单价31819元/平米
通州|北关|天赐良园 6号线 南北带花园2居 不临街|天赐良园东三期| | 2室2厅 | 101.13平米 | 南 北 | 简装|低楼层(共5层)  2004年建板楼  -  |北关|398万|单价39356元/平米
通州|北关|满五年唯一，中间楼层，正规两居 紧邻商务园|翠福园| | 2室1厅 | 84.01平米 | 南 西 | 简装|中楼层(共6层)  2003年建板楼  -  |北关|262万|单价31187元/平米
通州|北关|通州北关翠福园 南北通透 精装两居室|翠福园| | 2室1厅 | 88平米 | 南 北 | 精装|中楼层(共6层)  2007年建板楼  -  |北关|285万|单价32387元/平米
通州|北关|西潞苑 南北通透大两居 落地飘窗 采光好|西潞苑小区| | 2室2厅 | 103.61平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |北关|300万|单价28955元/平米
通州|北关|通州北关翠福园小区 正规的南北通透两居室！|翠福园| | 2室1厅 | 93.28平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |北关|300万|单价32162元/平米
通州|北关|此房满二年，精装修，电梯房，观景温榆河，诚心出售|8哩岛| | 2室2厅 | 89平米 | 东 西 | 精装|中楼层(共10层)  2010年建  -  |北关|385万|单价43259元/平米
通州|北关|地铁6号线 华诚花园  双卧朝南2居 中高楼层 采光好|华诚花园| | 2室1厅 | 86平米 | 北 南 | 精装|中楼层(共7层)  1997年建板楼  -  |北关|310万|单价36047元/平米
通州|北关|地铁6号线 天赐良园 客厅和双卧室朝南3居|天赐良园东三期| | 3室2厅 | 124.61平米 | 南 北 | 精装|高楼层(共6层)  2004年建板楼  -  |北关|420万|单价33706元/平米
通州|北关|顶层有阁楼.精装修.产权满两年没有增值税.随时看房|翠福园| | 1室2厅 | 69平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |北关|245万|单价35508元/平米
通州|北关|精装小户型，已改小两居，落地飘窗阳台，下班后可看房|西潞苑小区| | 2室1厅 | 56.99平米 | 南 | 精装|高楼层(共6层)  2004年建板楼  -  |北关|195万|单价34217元/平米
通州|北关|西潞苑小区 低楼层 南北通透两居室 满五唯一|西潞苑小区| | 2室1厅 | 102.36平米 | 南 北 | 简装|中楼层(共6层)  2003年建板楼  -  |北关|330万|单价32240元/平米
通州|北关|通州新城 临商务园 复式户型 四世同堂 |翠福园| | 4室2厅 | 204平米 | 南 北 | 简装|高楼层(共6层)  2003年建板楼  -  |北关|480万|单价23530元/平米
通州|北关|温榆河畔，精装中楼层，拎包入住温馨舒适的家！|西潞苑小区| | 2室1厅 | 83平米 | 东 西 | 精装|中楼层(共4层)  1999年建板楼  -  |北关|270万|单价32531元/平米
通州|北关|北关西潞苑小区低总价 精装修  开间|西潞苑小区| | 1室0厅 | 32.87平米 | 西 | 精装|高楼层(共4层)  1999年建板楼  -  |北关|150万|单价45635元/平米
通州|北关|通州新城开发区 小两居 正规板楼|富河园| | 2室1厅 | 70平米 | 南 | 简装|中楼层(共6层)  1995年建板楼  -  |北关|260万|单价37143元/平米
通州|北关|翠福园小区 正规小两居  精装修 黄金楼层|翠福园| | 2室2厅 | 75平米 | 西 北 | 精装|中楼层(共6层)  2005年建板楼  -  |北关|255万|单价34000元/平米
通州|北关|通州新城 温榆河畔 8哩岛 平层四居 次新房 环境好 |8哩岛| | 4室3厅 | 260平米 | 南 北 | 毛坯|高楼层(共6层)  2010年建  -  |北关|810万|单价31154元/平米
通州|北关|花园洋房 一梯一户电梯入户 紧邻温榆河畔距地铁10分钟|8哩岛| | 4室2厅 | 255平米 | 南 北 | 毛坯|中楼层(共5层)  2010年建  -  |北关|890万|单价34902元/平米
通州|北关|北关 西潞苑小区 正规两居室 南北通透 客厅南向|西潞苑小区| | 2室1厅 | 95.59平米 | 南 北 | 简装|高楼层(共6层)  2004年建板楼  -  |北关|330万|单价34523元/平米
通州|北关|通州新城 天赐良园 正规两居 紧邻地铁6号线 商品房 |天赐良园东三期| | 2室2厅 | 84平米 | 南 北 | 简装|低楼层(共6层)  2004年建板楼  -  |北关|320万|单价38096元/平米
通州|北关|8哩岛花园洋房 一梯一户 电梯入户 带150平米露台|8哩岛| | 4室3厅 | 238平米 | 南 北 | 毛坯|高楼层(共5层)  2010年建  -  |北关|833万|单价35000元/平米
通州|北关|通州新城 地铁六号线 精装复式 满五年|天赐良园二期| | 3室3厅 | 162.33平米 | 南 北 | 精装|高楼层(共6层)  2000年建板楼  -  |北关|465万|单价28646元/平米
通州|北关|8哩岛新小区 南北通透格局 小复式 带花园|8哩岛| | 6室2厅 | 323.66平米 | 南 北 | 毛坯|低楼层(共9层)  2010年建板楼  -  |北关|650万|单价20083元/平米
通州|北关|温榆河畔 花园洋房 8哩岛 下跃5居室|8哩岛| | 5室2厅 | 360平米 | 南 北 | 毛坯|低楼层(共10层)  2010年建板楼  -  |北关|680万|单价18889元/平米
通州|北关|临近通州商务园，平层大复式，送40平私家花园！|翠福园| | 4室2厅 | 204平米 | 南 北 | 精装|低楼层(共6层)  2003年建板楼  -  |北关|480万|单价23530元/平米
通州|北关|南北通透，看房随时，精装，不临街，采光好，带露台|天赐良园一期| | 1室0厅 | 41.06平米 | 南 北 | 精装|高楼层(共7层)  2001年建板楼  -  |北关|235万|单价57234元/平米
通州|北关|通州新城 地铁六号线 南北通透三居 采光好|天赐良园一期| | 3室2厅 | 116平米 | 南 北 | 精装|高楼层(共6层)  2001年建板楼  -  |北关|330万|单价28449元/平米
通州|北关|精装修两居室 南北通透 户型方正 中楼层|西潞苑小区| | 2室1厅 | 78.12平米 | 南 北 | 精装|中楼层(共6层)  2003年建板楼  -  |北关|270万|单价34563元/平米
通州|北关|16万精装修家具家电全送，两居，下班后或周末可看！|西潞苑小区| | 2室1厅 | 72.14平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |北关|256万|单价35487元/平米
通州|北关|北关南北通透一居室，低楼层，交通便利|翠福园| | 1室1厅 | 69平米 | 南 北 | 精装|低楼层(共6层)  2007年建板楼  -  |北关|245万|单价35508元/平米
通州|北关|通州北关 碧水明珠 正规西向两居室|碧水明珠| | 2室2厅 | 97.58平米 | 西 | 精装|高楼层(共22层)  2004年建塔楼  -  |北关|350万|单价35869元/平米
通州|北关|通州北关核心区 金地格林格林 全南向两居 有房本|金地格林格林| | 2室1厅 | 75平米 | 南 | 精装|低楼层(共18层)  2013年建板楼  -  |北关|260万|单价34667元/平米
通州|北关|西潞苑 通顺路旁 小区临街底商 繁华地段|西潞苑小区| | 1室0厅 | 46平米 | 西 | 简装|低楼层(共3层)  1998年建板楼  -  |北关|190万|单价41305元/平米
通州|北关|落地窗 小区的中心位置  前后不临街|西潞苑小区| | 2室1厅 | 77.55平米 | 南 北 | 精装|高楼层(共6层)  2004年建板楼  -  |北关|270万|单价34817元/平米
通州|北关|通州新城 翠福园 地铁6号线1.5公里 南北通透|翠福园| | 2室2厅 | 91.44平米 | 南 北 | 精装|高楼层(共6层)  2005年建板楼  -  |北关|310万|单价33903元/平米
通州|北关|朝阳北路 独栋别墅 前后花园 送车位 6号地铁物资学院|榆景苑| | 4室2厅 | 275平米 | 南 北 | 简装|低楼层(共2层)  1995年建  -  |北关|900万|单价32728元/平米
通州|北关|金地格林格林 南北通透一居室 北关商圈|金地格林格林| | 1室1厅 | 55平米 | 南 北 | 精装|低楼层(共18层)  2013年建板楼  -  |北关|200万|单价36364元/平米
通州|北关|小户型，低总价，业主诚心出售，小区中心位置			|西潞苑小区| | 1室0厅 | 39.47平米 | 南 北 | 简装|高楼层(共6层)  2002年建板楼  -  |北关|160万|单价40538元/平米
通州|北关|通州北关西潞苑小区，南向开间，精装修，紧邻地铁|西潞苑小区| | 1室0厅 | 31.35平米 | 南 | 简装|高楼层(共6层)  2001年建板楼  -  |北关|175万|单价55822元/平米
通州|北关|低层两居，满5唯一，紧邻地铁，不临街，采光好|天赐良园二期| | 2室1厅 | 107.45平米 | 南 北 | 精装|中楼层(共6层)  2002年建板楼  -  |北关|400万|单价37227元/平米
通州|北关|8哩岛小区，花园洋房，全南向精装两居室，不临街|8哩岛| | 2室2厅 | 87平米 | 南 | 精装|高楼层(共10层)  2010年建板楼  -  |北关|420万|单价48276元/平米
通州|北关|8哩岛精装大2居，可直观温榆河公园，诚心出售|8哩岛| | 2室2厅 | 90.4平米 | 东 | 精装|高楼层(共10层)  2010年建板楼  -  |北关|390万|单价43142元/平米
通州|北关|通州新城北关地铁 精装复式三居 业主诚售|碧水明珠| | 3室2厅 | 156.72平米 | 东南 | 精装|高楼层(共22层)  2004年建塔楼  -  |北关|450万|单价28714元/平米
通州|北关|西潞苑 通顺路旁的底商，调高4.5米|西潞苑小区| | 1室1厅 | 51平米 | 东 西 | 简装|低楼层(共3层)  2000年建板楼  -  |北关|155万|单价30393元/平米
通州|大兴其它|旧宫镇 上林苑 南北通透 三居室 快速公交一号线 |上林苑| | 3室1厅 | 126.38平米 | 南 北 | 简装|高楼层(共6层)  2002年建板楼  -  |大兴其它|350万|单价27695元/平米
通州|大兴其它|上林苑6层双卫有同等面积露台南北两居|上林苑| | 2室2厅 | 107.09平米 | 南 北 | 简装|高楼层(共6层)  2001年建板楼  -  |大兴其它|305万|单价28481元/平米
通州|大兴其它|满五年唯一高楼层两居室，随时签约|福苑小区| | 2室1厅 | 65.53平米 | 东 西 | 简装|高楼层(共6层)  1997年建板楼  -  |大兴其它|169万|单价25790元/平米
通州|大兴其它|独墅逸致 独栋别墅 中式古典风格 古香古色|独墅逸致| | 4室2厅 | 206平米 | 东 南 西 北 | 精装|低楼层(共2层)    -  |大兴其它|1050万|单价50971元/平米
通州|大兴其它|满五唯一  单价低  业主诚售 看房方便|福苑小区| | 3室2厅 | 124.66平米 | 南 北 | 简装|高楼层(共7层)  2002年建板楼  -  |大兴其它|260万|单价20857元/平米
通州|大兴其它|二期独栋别墅 方正大花园700平米|独墅逸致| | 4室2厅 | 240平米 | 南 北 | 精装|低楼层(共2层)    -  |大兴其它|1000万|单价41667元/平米
通州|大兴其它|上林苑 带花园  双卫生间 南北通透 改善养老首选|上林苑| | 2室2厅 | 107.09平米 | 南 北 | 简装|低楼层(共6层)  2001年建板楼  -  |大兴其它|420万|单价39220元/平米
通州|大兴其它|福苑高楼层两居室满五年唯一，诚心出售|福苑小区| | 2室1厅 | 74.58平米 | 南 北 | 简装|高楼层(共6层)  1997年建板楼  -  |大兴其它|195万|单价26147元/平米
通州|大兴其它|独栋别墅 一期 豪华装修 花园400平米|独墅逸致| | 4室2厅 | 225.67平米 | 南 北 | 精装|低楼层(共3层)  2003年建  -  |大兴其它|780万|单价34564元/平米
通州|大兴其它|富力童话时光别墅出售，上下三层带花园|富力童话时光| | 5室2厅 | 262.22平米 | 南 北 | 精装|低楼层(共2层)    -  |大兴其它|580万|单价22119元/平米
通州|大兴其它|福苑西区粉色楼满五年唯一精装复式房|福苑小区| | 4室2厅 | 148.06平米 | 南 北 | 精装|高楼层(共7层)  2002年建板楼  -  |大兴其它|300万|单价20263元/平米
通州|大兴其它|龙熙顺景  南北通透 联排别墅 豪华装修|龙熙顺景| | 5室3厅 | 280.84平米 | 南 北 | 精装|地下室(共2层)    -  |大兴其它|850万|单价30267元/平米
通州|大兴其它|独墅逸致 高端别墅  豪华精装修|独墅逸致| | 5室2厅 | 238.5平米 | 南 北 | 精装|低楼层(共2层)  2003年建  -  |大兴其它|800万|单价33543元/平米
通州|大兴其它|龙熙顺景别墅区复试，精装可拎包入住|龙熙顺景| | 4室2厅 | 211平米 | 东 南 西 北 | 精装|中楼层(共12层)  2004年建  -  |大兴其它|420万|单价19906元/平米
通州|大兴其它|福苑小区大四居，楼王位置、楼王户型、满五唯一|福苑小区| | 4室1厅 | 121.53平米 | 南 北 | 简装|低楼层(共6层)  1999年建板楼  -  |大兴其它|285万|单价23451元/平米
通州|大兴其它|福苑小区东区 首层南北大三居 简单装修 满五唯一|福苑小区| | 3室1厅 | 106平米 | 南 北 | 简装|低楼层(共5层)  1999年建板楼  -  |大兴其它|245万|单价23114元/平米
通州|大兴其它|双卧朝南带大阳台  格局方正  客厅带窗|福苑小区| | 3室2厅 | 137平米 | 南 北 | 精装|中楼层(共7层)  2002年建板楼  -  |大兴其它|298万|单价21752元/平米
通州|大兴其它|福苑大两居室次顶层满五年唯一，随时签约|福苑小区| | 2室1厅 | 87.2平米 | 南 北 | 其他|高楼层(共6层)  1999年建板楼  -  |大兴其它|205万|单价23510元/平米
通州|大兴其它|富力丹麦小镇 低楼层纯南三居室 业主诚心出售 环境好|富力丹麦小镇| | 3室2厅 | 114平米 | 南 | 精装|低楼层(共12层)  2011年建板楼  -  |大兴其它|275万|单价24123元/平米
通州|大兴其它|龙溪顺景 南北三居 满五唯一  户型好 |龙熙顺景| | 2室2厅 | 112.95平米 | 东南 | 简装|低楼层(共12层)  2004年建  -  |大兴其它|220万|单价19478元/平米
通州|大兴其它|福苑小区 满五唯一 户型非常棒 |福苑小区| | 3室1厅 | 102.71平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |大兴其它|245万|单价23854元/平米
通州|大兴其它|福苑西区复式房，满五年不唯一总价低|福苑小区| | 4室2厅 | 165.25平米 | 南 北 | 简装|高楼层(共7层)  2002年建板楼  -  |大兴其它|268万|单价16218元/平米
通州|大兴其它|龙溪顺景 新户型 三居  看房随时 |龙熙顺景| | 3室1厅 | 170平米 | 东 南 西 | 毛坯|中楼层(共15层)  2005年建  -  |大兴其它|290万|单价17059元/平米
通州|大兴其它|富力丹麦小镇，精装独栋别墅，直接入住|富力丹麦小镇| | 4室2厅 | 370平米 | 东 南 西 北 | 精装|低楼层(共2层)  2011年建  -  |大兴其它|750万|单价20271元/平米
通州|大兴其它|独墅逸致，独栋别墅，大花园，还可扩建，二期毛坯房|独墅逸致| | 4室2厅 | 245.97平米 | 南 北 | 毛坯|低楼层(共2层)    -  |大兴其它|860万|单价34964元/平米
通州|大兴其它|大兴黄村，独墅逸致，双拼别墅，有花园|独墅逸致| | 4室2厅 | 210平米 | 南 北 | 精装|低楼层(共2层)    -  |大兴其它|590万|单价28096元/平米
通州|大兴其它|富力丹麦小镇  顶层复式  无营业税 看房有钥匙|富力丹麦小镇| | 3室2厅 | 172.09平米 | 东 南 西 | 精装|中楼层(共19层)  2011年建板楼  -  |大兴其它|390万|单价22663元/平米
通州|大兴其它|198栋 南五环独栋别墅 有钥匙 大花园|198别墅区| | 6室3厅 | 487平米 | 南 北 | 毛坯|低楼层(共3层)  2009年建  -  |大兴其它|1350万|单价27721元/平米
通州|大兴其它|正规三居，南北双通透，户型方正，精装修带电梯|富力丹麦小镇| | 3室1厅 | 130平米 | 南 北 | 精装|中楼层(共19层)  2011年建板楼  -  |大兴其它|310万|单价23847元/平米
通州|大兴其它|德茂小区 南北通透 交通便利 上学方便 适合刚需客户|德茂小区| | 2室1厅 | 69.22平米 | 南 北 | 简装|高楼层(共6层)  1997年建板楼  -  |大兴其它|200万|单价28894元/平米
通州|大兴其它|福苑南北两居室，业主诚心出售随时签约|福苑小区| | 2室1厅 | 74.37平米 | 南 北 | 精装|高楼层(共6层)  1996年建板楼  -  |大兴其它|190万|单价25548元/平米
通州|大兴其它|198栋独栋别墅 私享独有空间 大院子尽情展现设计灵感|198别墅区| | 4室2厅 | 367平米 | 南 北 | 其他|低楼层(共3层)  2009年建  -  |大兴其它|1200万|单价32698元/平米
通州|大兴其它|龙熙顺景公寓楼 采光好 精装修 |龙熙顺景| | 3室2厅 | 169平米 | 南 北 | 精装|高楼层(共12层)  2005年建  -  |大兴其它|280万|单价16569元/平米
通州|大兴其它|独墅逸致，独栋别墅，花园500平米，精装修|独墅逸致| | 4室2厅 | 200平米 | 南 北 | 精装|地下室(共2层)  2007年建  -  |大兴其它|1050万|单价52500元/平米
通州|大兴其它|龙熙顺景 满五年唯一 毛坯房 带大花园|龙熙顺景| | 5室3厅 | 358平米 | 南 北 | 毛坯|低楼层(共1层)    -  |大兴其它|1000万|单价27933元/平米
通州|大兴其它|198栋独栋别墅 南入户北花园 大花园 随时配合签约|198别墅区| | 3室2厅 | 326平米 | 南 北 | 毛坯|低楼层(共3层)  2009年建  -  |大兴其它|1200万|单价36810元/平米
通州|大兴其它|198独栋别墅 涵养优越气质，鉴赏主流生活|198别墅区| | 4室2厅 | 486平米 | 南 北 | 毛坯|低楼层(共2层)  2009年建  -  |大兴其它|1300万|单价26749元/平米
通州|大兴其它|福苑小区  精装两居室  南北通透  |福苑小区| | 2室1厅 | 73平米 | 南 北 | 其他|中楼层(共6层)  1998年建板楼  -  |大兴其它|200万|单价27398元/平米
通州|大兴其它|满五年南北通透业主诚心出售紧邻在建地铁8号线|德茂佳苑| | 2室2厅 | 91.63平米 | 南 北 | 精装|中楼层(共6层)  2004年建板楼  -  |大兴其它|295万|单价32195元/平米
通州|大兴其它|满五唯一  采光性特好  赠送花园和地下室|独墅逸致| | 7室2厅 | 230平米 | 南 北 | 其他|地下室(共2层)  2003年建  -  |大兴其它|1000万|单价43479元/平米
通州|大兴其它|富力丹麦小镇  满五唯一   南北通透|富力丹麦小镇| | 6室4厅 | 360平米 | 南 北 | 其他|低楼层(共3层)  2011年建  -  |大兴其它|1100万|单价30556元/平米
通州|大兴其它|小区低密度花园洋房，南北通透统一精装，客厅落地飘窗|富力童话时光| | 3室2厅 | 100平米 | 南 北 | 其他|低楼层(共9层)  板楼  -  |大兴其它|260万|单价26000元/平米
通州|大兴其它|大兴黄村 富力丹麦小镇 满两年原值高 看房随时|富力丹麦小镇| | 4室2厅 | 186平米 | 南 北 | 简装|低楼层(共5层)  2011年建板楼  -  |大兴其它|465万|单价25000元/平米
通州|大兴其它|龙熙顺景 3室2厅 297万|龙熙顺景| | 3室2厅 | 138.18平米 | 东 南 北 | 精装|低楼层(共15层)  2005年建  -  |大兴其它|297万|单价21494元/平米
通州|大兴其它|福苑中间楼层毛坯房两居室，满两年高原值|福苑小区| | 2室1厅 | 66.05平米 | 南 北 | 其他|中楼层(共6层)  1997年建板楼  -  |大兴其它|180万|单价27253元/平米
通州|大兴其它|龙熙顺景 4室2厅 380万|龙熙顺景| | 4室2厅 | 280平米 | 东 南 | 其他|高楼层(共15层)  2005年建  -  |大兴其它|380万|单价13572元/平米
通州|大兴其它|富力丹麦小镇 满两年、 精装修、无抵押|富力丹麦小镇| | 6室2厅 | 379.9平米 | 东 南 西 北 | 精装|地下室(共2层)  2011年建  -  |大兴其它|1200万|单价31588元/平米
通州|大兴其它|蓝天花园 2室1厅 198万|蓝天花园| | 2室1厅 | 92.15平米 | 南 北 | 精装|低楼层(共6层)  2005年建板楼  -  |大兴其它|198万|单价21487元/平米
通州|大兴其它|二期 独栋别墅  大花园600平送地下室150平米|独墅逸致| | 4室2厅 | 320平米 | 南 北 | 毛坯|地下室(共3层)    -  |大兴其它|960万|单价30000元/平米
通州|大兴其它|二期独栋别墅 方正大花园700平米|独墅逸致| | 4室2厅 | 235平米 | 南 北 | 其他|低楼层(共2层)    -  |大兴其它|900万|单价38298元/平米
