顺义|北七家|海德堡联排别墅  精装修拎包入住 前后花园区中心位置|海德堡花园| | 5室2厅 | 202.68平米 | 南 北 | 精装|低楼层(共4层)  1999年建  -  |北七家|695万|单价34291元/平米
顺义|北七家|西湖新村 精装三居室 一层带花园 南北通透 临湖|西湖新村| | 3室2厅 | 120平米 | 南 北 | 精装|低楼层(共7层)  1996年建板楼  -  |北七家|380万|单价31667元/平米
顺义|北七家|海德堡花园，满五唯一，精装修，可拎包入住|海德堡花园| | 2室2厅 | 108.45平米 | 南 北 | 精装|中楼层(共7层)  2004年建板楼  -  |北七家|350万|单价32273元/平米
顺义|北七家|151平米南北三居；别墅区品质；电梯直达；|王府花园| | 3室2厅 | 151.2平米 | 南 北 | 精装|中楼层(共8层)  1997年建板塔结合  -  |北七家|320万|单价21165元/平米
顺义|北七家|北七家，名佳花园三区，三居室，眼镜房，南北双通透|名佳花园三区| | 3室2厅 | 143.2平米 | 南 北 | 简装|中楼层(共5层)  2004年建板楼  -  |北七家|375万|单价26188元/平米
顺义|北七家|名佳花园 6+7大复式 南北通透 带露台 满五唯一|名佳花园| | 6室2厅 | 199平米 | 南 北 | 精装|高楼层(共7层)  2001年建板楼  -  |北七家|335万|单价16835元/平米
顺义|北七家|一层送20平米花园精装南北双通透大两居改成四居|名佳花园三区| | 4室1厅 | 108.8平米 | 南 北 | 精装|低楼层(共6层)  2004年建板楼  -  |北七家|365万|单价33548元/平米
顺义|北七家|温泉花园B区1+2复式，带花园，南北通透|温泉花园B区| | 4室2厅 | 165平米 | 南 北 | 简装|低楼层(共6层)  1999年建板楼  -  |北七家|335万|单价20304元/平米
顺义|北七家|西湖观景房 三层复式 南北板楼 满五唯一 有钥匙|西湖新村| | 4室1厅 | 215平米 | 南 北 | 简装|高楼层(共6层)  2001年建板楼  -  |北七家|390万|单价18140元/平米
顺义|北七家|名佳一层大三居带花园 自建阳光房 满五唯一|名佳花园| | 3室2厅 | 138.17平米 | 南 北 | 精装|低楼层(共7层)  2002年建板楼  -  |北七家|480万|单价34740元/平米
顺义|北七家|满五唯一，南北通透格局，免征个税|温泉花园A区| | 4室2厅 | 186.29平米 | 南 北 | 其他|中楼层(共6层)  1997年建板楼  -  |北七家|318万|单价17071元/平米
顺义|北七家|桃花苑正规三居室，卫生间有窗户，满5年唯一|桃花苑| | 3室2厅 | 111平米 | 南 北 | 精装|中楼层(共6层)  1995年建板楼  -  |北七家|306万|单价27568元/平米
顺义|北七家|八仙双拼别墅，满五唯一，简装，带花园|八仙别墅仙霞东里| | 5室2厅 | 197平米 | 南 北 | 精装|低楼层(共2层)  2001年建  -  |北七家|800万|单价40610元/平米
顺义|北七家|王府温馨公寓  南北通透  方正户型  大三居|王府温馨公寓| | 3室2厅 | 131平米 | 南 北 | 毛坯|低楼层(共6层)  1999年建板楼  -  |北七家|320万|单价24428元/平米
顺义|北七家|满五年且唯一， 西湖新村经典复式，南北向。|西湖新村| | 5室2厅 | 267.8平米 | 南 北 | 简装|高楼层(共7层)  1997年建板楼  -  |北七家|345万|单价12883元/平米
顺义|北七家|名流花园低楼层两居室 南北通透 满二唯一|名流花园| | 2室1厅 | 75平米 | 南 北 | 简装|低楼层(共6层)  1998年建板楼  -  |北七家|239万|单价31867元/平米
顺义|北七家|西湖新村 满五唯一 南北通透 经典复式|西湖新村| | 5室3厅 | 266平米 | 南 北 | 简装|高楼层(共7层)  1997年建板楼  -  |北七家|310万|单价11655元/平米
顺义|北七家|桃花苑5+6复式，南北通透，交通便利。|桃花苑| | 6室3厅 | 176平米 | 南 北 | 精装|高楼层(共6层)  2004年建板楼  -  |北七家|330万|单价18750元/平米
顺义|北七家|温泉花园B区 4室2厅 278万|温泉花园B区| | 4室2厅 | 135平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |北七家|278万|单价20593元/平米
顺义|北七家|名佳花园  大三居  南北东采光  大客厅 位置好|名佳花园| | 3室2厅 | 138.17平米 | 南 北 | 简装|中楼层(共7层)  2002年建板楼  -  |北七家|380万|单价27503元/平米
顺义|北七家|5+6复式 大四居，宽敞明亮，没有浪费面积|王府温馨公寓| | 4室2厅 | 178平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |北七家|375万|单价21068元/平米
顺义|北七家|西湖新村一层带花园满五唯一两居室|西湖新村| | 2室2厅 | 89平米 | 南 北 | 简装|低楼层(共7层)  1997年建板楼  -  |北七家|300万|单价33708元/平米
顺义|北七家|北亚花园南北向顶层复式 满五唯一|北亚花园| | 3室1厅 | 120平米 | 南 北 | 简装|高楼层(共7层)  1999年建板楼  -  |北七家|275万|单价22917元/平米
顺义|北七家|经典复式 南北通透 格局方正 一梯两户|王府公寓三区| | 3室3厅 | 183.86平米 | 南 北 | 简装|中楼层(共5层)  1995年建  -  |北七家|355万|单价19309元/平米
顺义|北七家|温哥华森林，独栋别墅，送花园，看房方便|温哥华森林| | 5室2厅 | 384平米 | 南 北 | 简装|低楼层(共3层)  2003年建  -  |北七家|1050万|单价27344元/平米
顺义|北七家|美树假日嘉园 经典下叠，无个税，免装修，送花园|美树假日嘉园| | 3室2厅 | 186平米 | 南 北 | 简装|低楼层(共4层)  2004年建  -  |北七家|620万|单价33334元/平米
顺义|北七家|北京十佳物业小区 南北通透 满五唯一 |望都家园| | 2室2厅 | 119平米 | 南 北 | 精装|高楼层(共6层)  2000年建板楼  -  |北七家|325万|单价27311元/平米
顺义|北七家|名佳花园顶层复式带露台，南北通透四居室|名佳花园| | 4室2厅 | 153平米 | 南 北 | 简装|高楼层(共7层)  2002年建板楼  -  |北七家|320万|单价20916元/平米
顺义|北七家|西湖新村，黄金楼层，南北通透，三居眼镜房|西湖新村| | 3室2厅 | 120平米 | 南 北 | 简装|中楼层(共7层)  1997年建板楼  -  |北七家|280万|单价23334元/平米
顺义|北七家|满五唯一，采光好，楼前无遮挡，户型好，|西湖新村| | 3室1厅 | 123平米 | 南 北 | 简装|高楼层(共7层)  1997年建板楼  -  |北七家|265万|单价21545元/平米
顺义|北七家|名佳花园 2室1厅 320万|名佳花园| | 2室1厅 | 89.33平米 | 南 北 | 简装|低楼层(共7层)  2000年建  -  |北七家|320万|单价35823元/平米
顺义|北七家|王府花园精装修电梯三居室南北通透|王府花园| | 3室1厅 | 148平米 | 南 北 | 精装|高楼层(共8层)  1996年建板塔结合  -  |北七家|310万|单价20946元/平米
顺义|北七家|北七家，西湖新村，满五唯一，三居室，低总价|西湖新村| | 3室1厅 | 166.56平米 | 南 北 | 简装|中楼层(共7层)  1997年建板楼  -  |北七家|270万|单价16211元/平米
顺义|北七家|西湖新村 南北通透大三居 婚房装修 黄金楼层|西湖新村| | 3室1厅 | 166.56平米 | 南 北 | 精装|中楼层(共7层)  1997年建板楼  -  |北七家|340万|单价20414元/平米
顺义|北七家|名佳四区全南一居，满5年唯一，有钥匙看房方便|名佳花园四区| | 1室1厅 | 57.64平米 | 南 | 简装|高楼层(共6层)  2003年建板楼  -  |北七家|220万|单价38168元/平米
顺义|北七家|燕城苑独家房源，免税，可上燕丹学校！|燕城苑北区| | 3室2厅 | 129平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |北七家|280万|单价21706元/平米
顺义|北七家|燕城苑 南北通透两居室 业主自住|燕城苑南区| | 2室2厅 | 99.57平米 | 南 北 | 精装|低楼层(共6层)  2001年建板楼  -  |北七家|245万|单价24606元/平米
顺义|北七家|北京太阳城  南北双通透  带电梯  满五唯一|北京太阳城老年公寓| | 2室2厅 | 121.58平米 | 南 北 | 精装|高楼层(共6层)  2007年建板楼  -  |北七家|260万|单价21386元/平米
顺义|北七家|燕城苑南区 南北通透三居室 二层|燕城苑南区| | 3室2厅 | 161平米 | 南 北 | 精装|低楼层(共6层)  2000年建板楼  -  |北七家|358万|单价22237元/平米
顺义|北七家|名佳花园四区精装两居室 满五唯一 南北通透 拎包入住|名佳花园四区| | 2室2厅 | 90.59平米 | 南 北 | 精装|高楼层(共6层)  2003年建板楼  -  |北七家|256万|单价28260元/平米
顺义|北七家|名流花园正规一层三居室 满五年唯一 带车库带花园|名流花园| | 3室2厅 | 200.15平米 | 南 北 | 精装|低楼层(共6层)  1998年建板楼  -  |北七家|550万|单价27480元/平米
顺义|北七家|北亚花园 满五唯一 南北通透精装复式|北亚花园| | 3室2厅 | 129平米 | 南 北 | 其他|高楼层(共7层)  2002年建板楼  -  |北七家|270万|单价20931元/平米
顺义|北七家|西湖新村集中供暖 4居复式 满五唯一 科技城旁|西湖新村| | 4室2厅 | 178.3平米 | 南 北 | 精装|高楼层(共7层)  2000年建板楼  -  |北七家|335万|单价18789元/平米
顺义|北七家|天通苑 北七家 大三居 精装修  拎包入住 业主换房 |北京太阳城老年公寓| | 3室2厅 | 160平米 | 南 北 | 精装|中楼层(共6层)  2007年建板楼  -  |北七家|430万|单价26875元/平米
顺义|北七家|满五唯一看房方便有钥匙无抵押无尾款|蓬莱公寓西区| | 6室2厅 | 208平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |北七家|400万|单价19231元/平米
顺义|北七家|1+2复式4居，带花园，带车库，满五年唯一，随时可看|温泉花园A区| | 4室2厅 | 249平米 | 南 北 | 简装|低楼层(共4层)  1995年建板楼  -  |北七家|450万|单价18073元/平米
顺义|北七家|名佳花园  精装复式  满五年唯一  南北通透|名佳花园| | 4室1厅 | 137.17平米 | 南 北 | 精装|高楼层(共5层)  2002年建板楼  -  |北七家|330万|单价24058元/平米
顺义|北七家|海德堡花园简装联排别墅 紧邻未来科技城 中心位置			|海德堡花园| | 4室2厅 | 207平米 | 南 北 | 简装|低楼层(共3层)  2000年建  -  |北七家|620万|单价29952元/平米
顺义|北七家|燕城苑南区 三居室 低楼层 满五唯一|燕城苑南区| | 3室2厅 | 115平米 | 南 北 | 精装|低楼层(共6层)  1999年建板楼  -  |北七家|280万|单价24348元/平米
顺义|北七家|未来科技城南区威尼斯花园联排别墅区满五年唯一别墅|威尼斯花园D区| | 4室2厅 | 340平米 | 南 北 | 简装|低楼层(共3层)  2005年建  -  |北七家|725万|单价21324元/平米
顺义|北七家|名佳花园三区中间层大三居，精装修采光好免个税|名佳花园三区| | 3室2厅 | 144.23平米 | 南 北 | 精装|中楼层(共5层)  2004年建板楼  -  |北七家|330万|单价22881元/平米
顺义|北七家|名流花园2层正规两居室 满五年|名流花园| | 2室2厅 | 91平米 | 南 北 | 简装|低楼层(共6层)  1998年建板楼  -  |北七家|275万|单价30220元/平米
顺义|北七家|望都家园 十佳物业 低楼层大两居 南北通透 诚心出售|望都家园| | 2室2厅 | 119平米 | 南 北 | 简装|低楼层(共6层)  2001年建板楼  -  |北七家|345万|单价28992元/平米
顺义|北七家|桃园公寓南北通透三居室 带花园|桃园公寓| | 3室2厅 | 141.96平米 | 南 北 | 简装|低楼层(共7层)  1997年建板楼  -  |北七家|330万|单价23246元/平米
顺义|北七家|精装修，看房方便，双卧朝南，黄金4层|西湖新村| | 2室2厅 | 89.21平米 | 南 北 | 精装|中楼层(共7层)  1996年建板楼  -  |北七家|249万|单价27912元/平米
顺义|北七家|燕城苑精装小两居，南北通透，满5年唯一！|燕城苑南区| | 2室1厅 | 69.72平米 | 南 北 | 精装|高楼层(共6层)  1996年建板楼  -  |北七家|220万|单价31555元/平米
顺义|北七家|十佳物业2居 精装修南北通透 科技城旁满五年唯一|望都新地| | 2室2厅 | 112平米 | 南 北 | 精装|高楼层(共6层)  2005年建板楼  -  |北七家|345万|单价30804元/平米
顺义|北七家|满五年唯一的两居室，南北通透，精装修|燕城苑南区| | 2室1厅 | 85.53平米 | 南 北 | 精装|中楼层(共6层)  1997年建板楼  -  |北七家|280万|单价32738元/平米
顺义|北七家|一层三居室 南北通透板楼 满五年唯一|西湖新村| | 3室2厅 | 165平米 | 南 北 | 其他|低楼层(共7层)  1997年建板楼  -  |北七家|379万|单价22970元/平米
顺义|北七家|北京十佳物业 板楼首层带花园 停车免费|望都家园| | 3室2厅 | 129平米 | 南 北 | 精装|低楼层(共6层)  2000年建板楼  -  |北七家|425万|单价32946元/平米
顺义|北七家|挑高大窗采光好  5层免税一居室|名佳花园三区| | 1室1厅 | 64.07平米 | 南 | 简装|高楼层(共5层)  2004年建板楼  -  |北七家|210万|单价32777元/平米
顺义|北七家|名佳花园 南北通透三居室 看房方便|名佳花园| | 3室1厅 | 121.22平米 | 南 北 | 简装|高楼层(共6层)  2001年建板楼  -  |北七家|295万|单价24336元/平米
顺义|北七家|一层三居室，三朝南户型，带南花园，离地铁4站地|温泉花园A区| | 3室2厅 | 172.26平米 | 南 北 | 简装|低楼层(共5层)  1995年建板楼  -  |北七家|330万|单价19158元/平米
顺义|北七家|王府温馨公寓三居室户型，精装修，采光好|王府温馨公寓| | 3室2厅 | 138平米 | 南 北 | 其他|高楼层(共6层)  1999年建板楼  -  |北七家|290万|单价21015元/平米
顺义|北七家|南北通透大2居 临湖观景电梯房   满五年唯一|北京太阳城老年公寓| | 2室1厅 | 113平米 | 南 北 | 精装|中楼层(共6层)  2007年建板楼  -  |北七家|249万|单价22036元/平米
顺义|北七家|蓬莱公寓西区，5+6复式，南北通透五居室|蓬莱公寓西区| | 5室2厅 | 223平米 | 南 北 | 简装|中楼层(共6层)  1999年建板楼  -  |北七家|395万|单价17714元/平米
顺义|北七家|温泉花园，黄金五层，经典大三居，眼睛户型|温泉花园B区| | 3室2厅 | 122平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |北七家|260万|单价21312元/平米
顺义|北七家|蓬莱公寓，满五唯一，简装复式，诚心出售，看房方便|蓬莱公寓西区| | 4室1厅 | 178平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |北七家|350万|单价19663元/平米
顺义|北七家|王府温馨公寓，经典5+6层5居复式，商品房，满五唯一|王府温馨公寓| | 5室3厅 | 191平米 | 南 北 | 简装|高楼层(共6层)  1999年建板楼  -  |北七家|335万|单价17540元/平米
顺义|北七家|蓬莱公寓精装修复式，顶层送露台，南北通透采光好免税|蓬莱公寓东区| | 3室1厅 | 135.87平米 | 南 北 | 简装|高楼层(共6层)  2001年建板楼  -  |北七家|320万|单价23552元/平米
顺义|北七家|独栋别墅花园300平米左右 临小区中心湖  满五年唯一				|八仙别墅仙霞西里| | 5室2厅 | 460.8平米 | 南 北 | 精装|低楼层(共3层)    -  |北七家|2480万|单价53820元/平米
顺义|北七家|满五年唯一一层带花园，把西边全明格局|名流花园| | 2室1厅 | 93平米 | 西南 | 简装|低楼层(共6层)  1998年建板楼  -  |北七家|270万|单价29033元/平米
顺义|北七家|海德堡联排别墅  未来科技城核心  精装首套只有契税			|海德堡花园| | 4室2厅 | 171.7平米 | 南 北 | 精装|低楼层(共4层)  2000年建  -  |北七家|580万|单价33780元/平米
顺义|北七家|免税，精装修三居室，南北双通透 ，满五年唯一 |冠雅苑| | 3室2厅 | 126平米 | 南 北 | 精装|高楼层(共6层)  1999年建板楼  -  |北七家|300万|单价23810元/平米
顺义|北七家|王府温馨公寓 黄金楼层。满五年唯一|王府温馨公寓| | 5室3厅 | 190平米 | 南 北 | 精装|高楼层(共6层)  1999年建板楼  -  |北七家|400万|单价21053元/平米
顺义|北七家|冠雅苑通透三居，好户型，满5年唯一无个税和增值税|冠雅苑| | 3室2厅 | 124平米 | 南 北 | 简装|高楼层(共6层)  2000年建板楼  -  |北七家|280万|单价22581元/平米
顺义|北七家|联排别墅，满二不唯一，精装修，带花园|海德堡花园| | 4室2厅 | 183.14平米 | 南 北 | 精装|低楼层(共4层)  2000年建  -  |北七家|580万|单价31670元/平米
顺义|北七家|110平  南北通透 大2居 黄金楼层|名佳花园三区| | 2室2厅 | 110.19平米 | 南 北 | 简装|中楼层(共5层)  2004年建板楼  -  |北七家|290万|单价26319元/平米
顺义|北七家|有阁楼 满五年唯一 大三居眼睛房|蓬莱公寓东区| | 3室2厅 | 196.5平米 | 南 北 | 精装|高楼层(共5层)  2001年建板楼  -  |北七家|314万|单价15980元/平米
顺义|北七家|麦卡伦地独栋别墅 送花园 位置安静|麦卡伦地| | 4室2厅 | 518平米 | 南 北 | 毛坯|低楼层(共2层)  2006年建  -  |北七家|1150万|单价22201元/平米
顺义|北七家|北七家物美路西冠雅苑小区平层四居室|冠雅苑| | 4室2厅 | 154平米 | 东 西 | 简装|中楼层(共6层)  2000年建板楼  -  |北七家|260万|单价16884元/平米
顺义|北七家|温泉花园 商品房 精装 拎包入住|温泉花园A区| | 3室2厅 | 161.3平米 | 南 北 | 其他|高楼层(共6层)  1995年建板楼  -  |北七家|253万|单价15686元/平米
顺义|北七家|达华依云庄园，独栋别墅，满5年唯一|达华依云庄园| | 6室3厅 | 275平米 | 南 北 | 精装|低楼层(共3层)  2005年建  -  |北七家|1160万|单价42182元/平米
顺义|北七家|桃花苑 别墅区的公寓楼 满五唯一 低楼层 诚心出售|桃花苑| | 3室2厅 | 110平米 | 南 北 | 简装|低楼层(共6层)  2001年建板楼  -  |北七家|320万|单价29091元/平米
顺义|北七家|名佳花园三区 两居室  满五唯一 随时陪看|名佳花园三区| | 2室1厅 | 85.72平米 | 南 北 | 简装|高楼层(共6层)  2004年建板楼  -  |北七家|265万|单价30915元/平米
顺义|北七家|复式好房 送露台 南北通透 格局方正|西湖新村| | 4室3厅 | 154.48平米 | 南 北 | 简装|高楼层(共7层)  2000年建板楼  -  |北七家|320万|单价20715元/平米
顺义|北七家|北京洋房，下叠 未来科技城边叠拼小区|北京洋房| | 4室1厅 | 202平米 | 南 北 | 精装|低楼层(共6层)  2005年建  -  |北七家|690万|单价34159元/平米
顺义|北七家|名佳花园三区 商品房 正规三居 落地窗 黄金层|名佳花园三区| | 3室2厅 | 190平米 | 南 北 | 简装|中楼层(共6层)  2004年建板楼  -  |北七家|385万|单价20264元/平米
顺义|北七家|望都新地两室两卫，精装修大两居，南北双通透|望都新地| | 2室2厅 | 112平米 | 南 北 | 精装|低楼层(共6层)  2008年建板楼  -  |北七家|395万|单价35268元/平米
顺义|北七家|名佳花园  南北通透  三居室  满五唯一 黄金楼层|名佳花园| | 3室1厅 | 113.09平米 | 南 北 | 简装|中楼层(共7层)  2000年建板楼  -  |北七家|330万|单价29181元/平米
顺义|北七家|北亚花园 中间楼层大两居 业主诚意出售|北亚花园| | 2室1厅 | 110.7平米 | 南 北 | 简装|中楼层(共6层)  2002年建板楼  -  |北七家|270万|单价24391元/平米
顺义|北七家|名佳花园四区 满五唯一 南北通透|名佳花园四区| | 1室1厅 | 63.33平米 | 南 北 | 简装|低楼层(共6层)  2003年建板楼  -  |北七家|210万|单价33160元/平米
顺义|北七家|燕城苑南区 低楼层三居室 南北通透|燕城苑南区| | 3室1厅 | 108平米 | 南 北 | 简装|低楼层(共6层)  1997年建板楼  -  |北七家|270万|单价25000元/平米
顺义|北七家|名佳花园三区  底商  正在营业  商品房属性  满五唯一|名佳花园三区| | 2室2厅 | 116.89平米 | 南 北 | 简装|低楼层(共6层)  2004年建板楼  -  |北七家|225万|单价19249元/平米
顺义|北七家|王府公寓一层大两居 别墅区里的公寓楼 满五年唯一|王府公寓三区| | 2室2厅 | 115平米 | 南 北 | 简装|低楼层(共5层)  1995年建  -  |北七家|250万|单价21740元/平米
顺义|北七家|温泉花园一层带花园两居室诚意出售|温泉花园A区| | 2室1厅 | 103.35平米 | 南 北 | 简装|低楼层(共6层)  1997年建板楼  -  |北七家|270万|单价26125元/平米
顺义|北七家|一层带花园三居，满五年唯一，南北通透，离地铁4站|温泉花园B区| | 3室1厅 | 141平米 | 南 北 | 简装|低楼层(共4层)  1999年建板楼  -  |北七家|340万|单价24114元/平米
顺义|北七家|满五年唯一商品房，5+6复式四居，随时能看|蓬莱公寓西区| | 4室2厅 | 223平米 | 南 北 | 其他|高楼层(共6层)  1999年建板楼  -  |北七家|395万|单价17714元/平米
顺义|北七家|南北通透大3居 小区中心位置 满五年唯一|北京太阳城老年公寓| | 3室2厅 | 149平米 | 南 北 | 精装|低楼层(共6层)  2007年建板楼  -  |北七家|360万|单价24162元/平米
顺义|北七家|望都家园，十佳物业，南北通透，错层|望都家园| | 3室2厅 | 177平米 | 南 北 | 精装|中楼层(共7层)  2001年建板楼  -  |北七家|400万|单价22599元/平米
顺义|北七家|温泉花园黄金楼层精装三居室户型，南北通透|温泉花园A区| | 3室1厅 | 114.18平米 | 南 北 | 其他|中楼层(共5层)  1997年建板楼  -  |北七家|300万|单价26275元/平米
顺义|北七家|王府国际学校北王府温馨公寓南北通透大四居|王府温馨公寓| | 4室2厅 | 179平米 | 南 北 | 精装|中楼层(共6层)  1999年建板楼  -  |北七家|396万|单价22123元/平米
顺义|北七家|未来科技城北区麦卡伦地独栋别墅|麦卡伦地| | 7室3厅 | 544.4平米 | 东 南 西 北 | 精装|低楼层(共2层)    -  |北七家|2000万|单价36738元/平米
